Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
4,Afghanistan,,,,,,,,,,,,,,,,10163.18,,,,,,,,13916.0,,,,,,2013,13916.0,,0.431,2013,1985,2002,2015,2013,2004.0,2017,,2013,2013,,1995.0,2002.0,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Albania,1143.87,1183.56,1161.72,1256.43,1309.77,1313.34,1573.32,1602.93,1617.21,1747.62,2155.55,2115.88,2072.43,2097.86,2135.68,2062.83,2121.02,2038.51,1927.65,1984.17,,,,,,,,,,2009,1984.17,73.46,0.667,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,3.469799889847627,-1.845280340667133,8.15256688358641,4.245361858599358,0.27256693923360104,19.795330988167574,1.8820074746396238,0.8908685968819582,8.063887806778332,23.34203087627747,-1.840365567952498,-2.053519103162763,1.2270619514290129,1.8027895093094728,-3.411091549295771,2.8208819922145816,-3.8901094756296493,-5.438285806790248,2.932067543381837,,,,,,,,,
12,Algeria,,,,,18753.0,,,,,,32922.13,,,,,,,,,,,,,,,,,,,2000,32922.13,,1.061,1998,1983,1995,2005,2005,1992.0,2016,1984,,2006,1996,1996.0,1993.0,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Angola,,,,,,,,,,,15931.23,,,,,19932.36,,,,,,,,,,,,,,2005,19932.36,,1.026,2017,2013,1998,2006,2007,2000.0,,,,2006,1990,1997.0,2000.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda,98.91,,,,,,,,,,142.17,,,,,,,,,,,,,,,,,,,2000,142.17,43.74,1.87,1993,1997,1993,2007,1998,1992.0,2016,2005,2010,2003,1989,1997.0,1993.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Argentina,76790.2,,,,82725.07,,,82099.27,,,84849.65,,,,,,,,,,75074.92,,77139.66,,,,,,,2012,77139.66,0.46,1.847,1991,1981,1995,1992,2005,1990.0,2016,1992,2004,2005,1995,1997.0,1994.0,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,3169.3,,,,,,,,,,1845.52,,,,,,2164.76,,,,2261.11,,,,,,,,,2010,2261.11,-28.66,0.786,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,4975.33,4972.35,4949.66,4804.72,4673.4,4606.33,4614.23,4727.96,4686.15,4520.94,4667.97,4611.97,4540.3,4322.55,4408.02,4476.36,4453.77,4442.61,4374.14,4335.54,4250.36,4331.16,4316.28,4288.74,4202.84,4214.75,4234.96,4326.83,4381.29,2018,4381.29,-11.94,0.176,1992,1976,1993,1991,2007,1989.0,2016,1975,2004,2004,1994,2000.0,1992.0,1974,-0.05989552451796289,-0.4563234687823767,-2.9282819425980695,-2.733145740022324,-1.4351435785509419,0.17150312721840677,2.4647666024450556,-0.8843137420790447,-3.525495342658687,3.2521997637659577,-1.1996649507173354,-1.5539997007786275,-4.795938594366011,1.9773050629836613,1.5503559421236572,-0.5046511004476681,-0.25057423261642975,-1.5412111348959137,-0.8824591805474987,-1.9646918261623765,1.90101544339774,-0.34355692239492674,-0.638049431454863,-2.002919272327062,0.2833798098428647,0.4795064950471567,2.169323913330938,1.2586581862472073
40,Austria,415.66,410.66,399.27,395.9,384.3,381.22,369.11,357.02,349.83,342.59,335.72,329.39,323.74,321.21,321.35,312.0,308.01,303.81,298.78,295.73,292.35,284.34,280.27,276.28,271.1,268.08,265.7,265.04,257.55,2018,257.55,-38.04,0.029,1993,1982,1994,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992,-1.2029062214309771,-2.7735839867530423,-0.8440403736819708,-2.9300328365748842,-0.8014571948998137,-3.1766434080058787,-3.275446343908329,-2.013892779116015,-2.0695766515164538,-2.005312472634913,-1.8854998212796497,-1.7152919032150271,-0.7814913201952274,0.04358519348714025,-2.909600124474878,-1.2788461538461569,-1.3635920911658677,-1.655640038181768,-1.0208179931722188,-1.1429344334359028,-2.739866598255532,-1.4313849616656094,-1.4236272166125556,-1.8749095120891668,-1.1139800811508809,-0.8877946881527885,-0.2484004516371728,-2.8259885300332055
31,Azerbaijan,13459.35,12482.4,10730.37,9874.62,9233.28,9617.79,9042.81,8867.46,8525.16,8874.81,8839.66,9598.47,9598.26,9691.5,9846.27,10393.96,11375.38,13804.2,17617.6,17263.73,17474.25,17081.08,17593.8,15997.72,,,,,,2013,15997.72,18.86,1.705,2001,1998,2000,,2000,1996.0,2017,2001,,2004,2016,1998.0,1995.0,1993,-7.2585228855776895,-14.036002691790031,-7.975027888134332,-6.4948322062013535,4.164392285298401,-5.978296469355239,-1.9391096351687183,-3.860180931179834,4.101389299438364,-0.39606481716227887,8.584153689169034,-0.0021878486883756152,0.9714260709753619,1.5969664138678268,5.562410943433388,9.442214516892504,21.351550453699144,27.62492574723633,-2.008616383616378,1.2194351973762358,-2.2499964233085725,3.0016837342837657,-9.07183212267958,,,,,
