Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
4,Afghanistan,,,,,,,,,,,,,,,,3222.2,,,,,,,,9851.0,,,,,,2013,9851.0,,0.31,2013,1985,2002,2015,2013,2004.0,2017,,2013,2013,,1995.0,2002.0,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Albania,3101.66,5166.7,3311.06,3235.47,3500.49,3477.42,3341.56,3426.64,4139.06,4478.33,3507.9,4224.1,4283.95,4614.75,4939.11,4953.33,4944.38,5395.06,5530.3,5942.57,6263.292841956019,6597.713623955846,6951.924241915345,7325.924695841968,7719.714985728264,8133.295111574233,8566.665073364973,9019.824871137738,9492.774504862726,2009,5942.57,91.59,2.0,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,66.57854181309364,-35.91538119108909,-2.28295470332764,8.19108197572532,-0.6590505900602405,-3.906919497788594,2.546116185254789,20.79062872084609,8.196788642831935,-21.66946160734023,20.416773568231715,1.41686986577021,7.721845493061314,7.028766455387609,0.2879061207383568,-0.1806865280528416,9.114995206679104,2.506737645179104,7.454749290273575,,,,,,,,,
12,Algeria,,,,,63705.0,,,,,,71593.26,,,,,,,,,,,,,,,,,,,2000,71593.26,,2.31,1998,1983,1995,2005,2005,1992.0,2016,1984,,2006,1996,1996.0,1993.0,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Angola,,,,,,,,,,,16317.0,,,,,27809.0,,,,,,,,,,,,,,2005,27809.0,,1.43,2017,2013,1998,2006,2007,2000.0,,,,2006,1990,1997.0,2000.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda,288.14,,,,,,,,,,371.88,,,,,,,,,,,,,,,,,,,2000,371.88,29.06,4.89,1993,1997,1993,2007,1998,1992.0,2016,2005,2010,2003,1989,1997.0,1993.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Argentina,100867.5,105487.38590806723,108057.11538231373,110771.70039451122,117595.97,116635.43703258038,119784.58865839243,125563.93,126517.4585237503,130101.17676317692,128323.87,137703.17985582352,141721.4647089243,145884.60509997606,150192.60102885962,154645.45249569416,159243.15950030088,163985.722042799,168873.1401232481,173905.413741529,181939.49,184404.52759176493,188265.15,195483.0635934472,201239.61490118504,207141.02174675465,213187.28413015604,219378.40205156803,225714.3755107522,2012,188265.15,86.65,4.51,1991,1981,1995,1992,2005,1990.0,2016,1992,2004,2005,1995,1997.0,1994.0,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,21615.96,18884.94367170334,16523.508168578148,14344.459203481674,12347.796776652336,10533.520888030529,8901.631537556648,7452.128725230694,6185.01245111227,5100.282715141773,3199.57,3477.982857644558,2940.41273611784,2585.2291526794434,2412.4321075081825,2422.021600484848,4173.95,2988.3602010011673,3545.1093084812164,4284.244954109192,4456.99,6309.6758598685265,7595.971119999886,9064.652918159962,10715.721254646778,12549.17612928152,14565.01754206419,16763.245492994785,19143.85998213291,2010,4456.99,-79.38,1.55,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,278424.66,279872.66,284912.44,289235.19,294014.96,305410.17,312361.59,320795.09,334684.52,344063.77,350195.02,357669.18,362209.55,369726.02,383205.12,386513.45,392680.65,399842.46,404417.41,407463.33,405502.8,404172.76,406506.24,397943.18,394116.89,401554.76,411031.53,415097.43,415953.95,2018,415953.95,49.40,16.71,1992,1976,1993,1991,2007,1989.0,2016,1975,2004,2004,1994,2000.0,1992.0,1974,0.520068876083031,1.800740379571205,1.517220518696902,1.6525547945946752,3.87572455496821,2.276093163498793,2.6999158251179343,4.32968908595203,2.802415241672964,1.782009771037503,2.1342850620776885,1.2694328317581054,2.0751716789355856,3.6456995912811263,0.863331366762536,1.5955977728588775,1.82382554373382,1.144188138498336,0.7531624318547617,-0.4811549544838864,-0.3279977351574339,0.5773471720360327,-2.106501489374431,-0.9615166667763924,1.8872243714295005,2.3600193408241554,0.9891941866357468,0.206341918329877
40,Austria,62124.7,65725.53,60204.07,60635.42,61002.44,64065.26,67421.59,67232.78,66875.15,65562.72,66162.89,70102.6,71918.76,77554.25,77674.39,79192.43,76898.33,74262.59,73588.4,67493.95,72011.84,69898.24,67209.1,67745.69,64084.43,66283.24,67112.27,69628.86,66719.68,2018,66719.68,7.40,7.5,1993,1982,1994,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992,5.796132617139402,-8.400784291887794,0.7164797994554164,0.605289779472137,5.020815560820189,5.238923560132268,-0.280043825724071,-0.5319280267750414,-1.9625077476461632,0.9154135154856268,5.95456153744192,2.590717034746199,7.835910963982146,0.1549109171966712,1.9543635939722133,-2.896867794055557,-3.4275646818337995,-0.9078460635428988,-8.281808002348193,6.693770330525921,-2.9350728991232438,-3.8472213320392608,0.7983889086448062,-5.404417609444972,3.4311142347681094,1.2507384973939095,3.749821008885553,-4.178123841177362
31,Azerbaijan,55893.73,51901.46,44546.68,39136.42,34272.68,36561.35,29965.84,28935.02,28567.01,27869.25,29010.24,28243.15,28031.43,30733.16,33010.79,35472.53,34310.57,29284.63,32283.34,26893.1,26411.83,28083.87,29847.75,39228.89,38012.17028462887,40286.620875000954,42783.58600759506,45503.06568259001,48445.05989998579,2013,39228.89,-29.82,4.18,2001,1998,2000,,2000,1996.0,2017,2001,,2004,2016,1998.0,1995.0,1993,-7.142607945470814,-14.170661095082874,-12.145147517166269,-12.427656898612591,6.677826186922056,-18.03956910781467,-3.439983661395775,-1.2718498207362636,-2.4425377384612474,4.094082187357039,-2.644204253394664,-0.7496330968748215,9.638216815909855,7.410985398182292,7.457379844590202,-3.275661476641218,-14.64837220716531,10.239876686166085,-16.69666149784998,-1.7895668405650402,6.330648046727536,6.280758314292158,31.42997378361853,,,,,
44,Bahamas,1894.2,1945.3879999369383,1957.7839998751879,1931.3879998475313,1866.2,1762.2199998497963,1619.4479998350143,1437.8839998841286,1217.5279999524355,958.3800000399351,660.44,323.70800022780895,-51.8159996420145,-466.1319994777441,-919.2399993389845,-1411.1399991363287,-1941.8319989293814,-2511.3159987032413,-3119.591998487711,-3766.6599982231855,-4452.519997939467,-5177.171997636557,-5940.615997344255,-6742.851997002959,-7583.87999664247,-8463.69999627769,-9382.311995908618,-10339.715995505452,-11335.911995068192,2000,660.44,-65.13,2.22,1992,1979,1993,,1999,1993.0,2016,1997,,2005,1983,2000.0,1994.0,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,,,,,16483.0,,,,,,18170.0,,,,,,,,,,,,,,,,,,,2000,18170.0,,27.34,1992,2012,1996,,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,5100.647143542767,8064.688182353973,10945.88233807683,13744.229610681534,16459.73,19092.383506566286,21642.190129876137,24109.149870067835,26493.26272714138,28794.528701156378,31012.947792053223,33148.52,35201.24532452226,37171.12376612425,39058.15532463789,40862.34,42583.67779228091,44222.1687014699,45777.812727600336,47250.60987058282,48640.56013044715,49947.66350722313,51171.92000094056,52313.32961153984,53371.892338991165,54347.60818338394,55240.47714468837,56050.49922287464,56777.67441791296,2005,40862.34,,0.29,1993,1981,1994,2005,2001,1990.0,2016,1992,,2007,2001,1996.0,1994.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Barbados,1564.22,1648.2142857233994,1734.4057142878883,1822.7942857113667,1913.38,2006.1628571324982,2101.142857132014,2198.32,2297.6942857056856,2399.2657142812386,2503.034285715781,2609.000000009313,2717.1628571609035,2827.5228571700864,2940.08000003919,3054.8342857672833,3171.785714354366,3290.9342857999727,3412.2800001022406,3535.8228572653607,3661.5628572870046,3789.500000167638,3919.6342859067954,4051.9657145030797,4186.49428595975,4323.220000274945,4462.142857449129,4603.262857482303,4746.580000372138,1997,2198.32,40.54,8.2,1995,1992,1994,,2000,1992.0,2016,2006,,2004,1993,1997.0,1994.0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,103689.71,96647.13,88662.01,76380.05,62367.89,57375.45,58214.8,58720.59,57372.47,54984.5,54877.36,54967.87,55077.7,56484.95,60076.47,61367.1,64157.16,63569.93,65694.82,61402.7,63156.39,62106.74,63008.35,63743.45,63083.64,58633.06,60284.85,60742.93,61871.68,2018,61871.68,-40.33,6.55,1999,1995,1993,2003,2005,1988.0,2016,1991,,2004,2006,2001.0,2000.0,1988,-6.791975790075988,-8.262138772253259,-13.852562106363248,-18.34531399233177,-8.004824277364527,1.4629079161906458,0.8688340422023155,-2.295821618958521,-4.1622227524804165,-0.1948549136574842,0.1649314034057069,0.1998076330772767,2.5550268075827423,6.358366255082114,2.148311976386092,4.546507819336427,-0.915299243295687,3.3426023907844584,-6.53342226982281,2.856047046791106,-1.6619854301362087,1.4517103940731726,1.166670766652354,-1.0351024301320335,-7.055046284583455,2.8171649236795777,0.7598592349487504,1.8582409508398756
56,Belgium,120309.34,123382.08,122507.84,121444.2,124816.9,125956.47,129496.58,124001.76,130227.11,124718.9,126735.3,126084.68,126878.58,128275.26,128805.29,125661.69,123905.76,120496.16,120202.86,107743.37,114561.03,105046.06,102428.75,102674.4,96811.32,100981.34,99806.94,99456.28,100207.84,2018,100207.84,-16.71,8.73,1993,1983,1997,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996,2.554032795791254,-0.7085631884306094,-0.8682219848133798,2.7771602102035318,0.9129933526629864,2.8105821003081464,-4.243216307334145,5.0203722914900615,-4.229695337629781,1.616755760353891,-0.5133692033711285,0.6296561961373965,1.1008004660833948,0.413197369469373,-2.4405829915836468,-1.3973471150992856,-2.7517687636151797,-0.2434102464344116,-10.365385648893882,6.32768401433889,-8.30559047871689,-2.491583215972115,0.2398252443771833,-5.710362076622787,4.307368187935036,-1.162987141980879,-0.3513382937098397,0.7556687219751208
84,Belize,1071.739465881139,940.261933658272,817.2177716046572,702.6069797128439,598.07,498.68550642952323,409.37482502683997,328.49751380085945,256.0535727366805,192.04300183802843,136.46580110490322,89.32197054103017,50.61151013895869,3.93,-1.5093001760542393,-14.919650081545115,4.71,-16.440239395946264,-4.550478804856539,5.93,44.52915286645293,81.71902395412326,127.34226520732045,181.3988766260445,243.88885820657015,314.81220994889736,394.168931864202,481.95902394503355,578.1824861876667,2009,5.93,,0.02,1997,1986,1994,,2003,1998.0,2016,1998,2005,2010,1983,1998.0,1994.0,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Benin,,,,,,802.34,,,,,1416.38,,,,,,,,,,,,,,,,,,,2000,1416.38,,0.21,1997,1984,1994,1986,2002,1993.0,2016,2000,2004,2004,1997,1996.0,1994.0,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bhutan,,,,,228.46,,,,,,498.07,,,,,,,,,,,,,,,,,,,2000,498.07,,0.84,2002,2002,1995,,2002,2004.0,2017,2012,,,,2003.0,1995.0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bolivia (Plurinational State of),5386.19,6204.495398133993,6634.522986121476,7032.681341722608,8146.25,7733.390355728567,8035.941014148295,8306.622440166771,8930.9,8752.377595029771,7782.84,9070.655820302665,9073.28,9261.457116015255,9786.04,9324.78148214519,9308.639816626906,9260.62891870737,9180.748788394034,9068.999425686896,8925.380830593407,8749.893003098667,8542.535943210125,8303.309650927782,8032.214126251638,7729.249369189143,7394.415379725397,7027.712157867849,6629.1397036165,2004,9786.04,81.69,1.08,1996,1979,1995,2003,1999,1994.0,2016,1990,2003,2003,1995,1996.0,1994.0,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
