Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 t of
 CO₂ equivalent",%,kg of CO₂ equivalent,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
4,Afghanistan,,,,,,,,,,,,,,,,19328.02,,,,,,,,43377.0,,,,,,2013,43377.0,,1.34,2013,1985,2002,2015,2013,2004.0,2017,,2013,2013,,1995.0,2002.0,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Albania,4341.63,6486.66,4581.28,4588.0,4906.36,4883.76,4998.58,5107.07,5830.67,6303.45,5775.17,6454.8,6471.21,6827.43,7192.71,7131.13,7183.33,7551.47,7630.94,8125.7,,,,,,,,,,2009,8125.7,87.16,2.73,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,0.49406098631159256,-0.29373822583579223,0.0014668389620368664,0.06938971229293803,-0.0046062661525039855,0.02351057382017128,0.021704163982571006,0.14168593733784743,0.08108502110392111,-0.08380807335665386,0.11768138427093923,0.002542294106711262,0.05504689231225694,0.05350183011762841,-0.008561446242097892,0.007320018005561505,0.05124921171657161,0.010523778813926209,0.06483604903196725,,,,,,,,,
12,Algeria,,,,,91758.0,,,,,,111022.59,,,,,,,,,,,,,,,,,,,2000,111022.59,,3.58,1998,1983,1995,2005,2005,1992.0,2016,1984,,2006,1996,1996.0,1993.0,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Angola,,,,,,,,,,,46188.93,,,,,61610.76,,,,,,,,,,,,,,2005,61610.76,,3.17,2017,2013,1998,2006,2007,2000.0,,,,2006,1990,1997.0,2000.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda,388.63,,,,,,,,,,597.75,,,,,,,,,,,,,,,,,,,2000,597.75,53.81,7.86,1993,1997,1993,2007,1998,1992.0,2016,2005,2010,2003,1989,1997.0,1993.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Argentina,231057.28,,,,257522.43,,,270910.29,,,282000.76,,,,,,,,,,332498.16,,338963.35,,,,,,,2012,338963.35,46.70,8.12,1991,1981,1995,1992,2005,1990.0,2016,1992,2004,2005,1995,1997.0,1994.0,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,24954.83,,,,,,,,,,5525.91,,,,,,7021.64,,,,7202.17,,,,,,,,,2010,7202.17,-71.14,2.5,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,424998.38,426015.21,430216.38,430612.56,430653.33,439004.9,446681.85,458841.6,472629.67,478199.84,489373.84,496982.31,500807.89,502301.78,520315.18,526206.97,530787.99,536888.6,540669.0,544285.46,540571.41,542511.92,544732.76,535006.81,530411.02,538618.78,548862.55,556612.27,558047.22,2018,558047.22,31.31,22.41,1992,1976,1993,1991,2007,1989.0,2016,1975,2004,2004,1994,2000.0,1992.0,1974,0.002392550296309403,0.0098615493094718,0.0009208854390899598,9.467907763772294e-05,0.0193927909485804,0.017487162443972613,0.02722239553722633,0.030049738297486556,0.011785485240484462,0.02336679995543286,0.015547357414936548,0.007697618050026804,0.002982960192580061,0.0358617084733404,0.011323502035823708,0.008705737972265967,0.011493496678400704,0.0070413117358051995,0.006688861392090101,-0.006823717098744343,0.0035897384954191513,0.004093624339166533,-0.017854534763064284,-0.008590152338434789,0.015474339126664467,0.01901859047692325,0.01411960061767736,0.002578006410099356
40,Austria,78492.61,82157.14,75524.0,75771.05,76016.83,79382.99,82605.5,82175.96,81511.96,79931.07,80261.99,84151.51,85906.92,91545.24,91139.81,92427.27,90022.83,87337.77,86747.76,80163.13,84612.84,82286.89,79528.79,79971.98,76346.01,78509.78,79467.29,82023.36,78950.34,2018,78950.34,0.58,8.88,1993,1982,1994,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992,0.046686305882808574,-0.08073723111588353,0.00327114559610194,0.003243719072125816,0.04428177286529843,0.040594464884731535,-0.005199895890709379,-0.008080222001665693,-0.019394577188427308,0.004140067185388588,0.048460298579688706,0.020860112908253264,0.06563289662811805,-0.00442873927688657,0.014126208953036071,-0.02601440029549723,-0.029826434027901562,-0.006755496505120399,-0.07590547583015389,0.05550818686845176,-0.027489326679024095,-0.03351809747579482,0.005572698893067559,-0.045340505512055616,0.02834162518774726,0.012196060159638644,0.032165058101264146,-0.03746518065097558
31,Azerbaijan,73385.78,66568.96,57604.85,50842.94,45065.06,47539.94,40316.85,39318.38,38821.97,39090.76,40624.5,40828.82,40779.79,43684.26,46259.96,49322.49,49235.65,46944.33,53779.54,48281.83,48048.28,49128.55,51803.95,57994.77,,,,,,2013,57994.77,-20.97,6.18,2001,1998,2000,,2000,1996.0,2017,2001,,2004,2016,1998.0,1995.0,1993,-0.0928902029793782,-0.13465900623954477,-0.117384386904922,-0.11364173668949916,0.05491793420445917,-0.15193729735460337,-0.024765575683616186,-0.012625393009579648,0.006923656888097149,0.03923535894415964,0.005029477285874281,-0.0012008674264893974,0.07122327015416217,0.05896174045296857,0.06620260804375963,-0.0017606572579769698,-0.04653782371107114,0.1456024614687226,-0.10222679479965799,-0.00483722344409901,0.022483010838265264,0.054457133377638745,0.11950478679714578,,,,,
44,Bahamas,1915.2,,,,2197.2,,,,,,724.58,,,,,,,,,,,,,,,,,,,2000,724.58,-62.17,2.43,1992,1979,1993,,1999,1993.0,2016,1997,,2005,1983,2000.0,1994.0,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,,,,,19598.96,,,,,,22372.8,,,,,,,,,,,,,,,,,,,2000,22372.8,,33.66,1992,2012,1996,,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,,,,,45926.15,,,,,,,84906.86,,,,99442.24,,,,,,,,,,,,,,2005,99442.24,,0.72,1993,1981,1994,2005,2001,1990.0,2016,1992,,2007,2001,1996.0,1994.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Barbados,3276.39,,,,3750.5,,,4056.44,,,1516.0,1435.0,1544.0,1544.0,1594.0,1643.0,1673.0,1773.0,1865.0,1921.0,1979.0,,,,,,,,,2010,1979.0,-39.60,7.01,1995,1992,1994,,2000,1992.0,2016,2006,,2004,1993,1997.0,1994.0,2002,,,,,,,,,,,-0.05343007915567282,0.07595818815331011,0.0,0.03238341968911917,0.030740276035131745,0.018259281801582473,0.05977286312014345,0.05188945290468133,0.030026809651474532,0.03019260801665799,,,,,,,,
112,Belarus,137766.41,129185.87,118221.92,105280.61,88379.27,81851.22,83443.71,84415.87,85898.56,79655.96,79588.94,79623.44,78345.45,80496.12,85276.39,86694.06,90609.15,90175.18,93988.59,90091.83,92278.15,91896.01,92826.79,93891.18,93037.12,88445.26,90043.58,91112.5,91992.61,2018,91992.61,-33.23,9.73,1999,1995,1993,2003,2005,1988.0,2016,1991,,2004,2006,2001.0,2000.0,1988,-0.06228325177378149,-0.08486957590640523,-0.10946624788364119,-0.16053611391499342,-0.07386404074168074,0.0194559103700593,0.011650488694713943,0.017564114425403687,-0.07267409372171071,-0.0008413683043930934,0.000433477314812837,-0.01605042434740329,0.027451115540213226,0.05938509831281314,0.016624413861796895,0.04515984140089871,-0.004789472144921359,0.042288909209829174,-0.04145992614635452,0.02426768331823199,-0.004141175348660538,0.010128622559347232,0.01146640964316443,-0.009096275070778722,-0.049355139110067045,0.018071290649154144,0.011871140618798123,0.00965959665249006
