Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
4,Afghanistan,,,,,,,,,,,,,,,,5942.65,,,,,,,,19610.0,,,,,,2013,"19,610.00",...,0.608,2013,1985,2002,2015,2013,2004.0,2017,...,2013,2013,...,1995.0,2002.0,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Albania,96.1,136.4,108.5,96.1,96.1,93.0,83.7,77.5,74.4,77.5,111.72,114.82,114.83,114.82,117.92,114.97,117.92,117.89,120.98,120.96,,,,,,,,,,2009,120.96,25.87,0.041,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,41.93548387096776,-20.45454545454546,-11.428571428571434,0.0,-3.2258064516128977,-9.999999999999996,-7.407407407407411,-3.9999999999999925,4.166666666666659,44.15483870967742,2.7747941281775814,0.008709284096851694,-0.008708525646612486,2.6998780700226517,-2.5016960651289035,2.5658867530660197,-0.02544097693351521,2.621087454406653,-0.016531658125318423,,,,,,,,,
12,Algeria,,,,,9300.0,,,,,,6500.7,,,,,,,,,,,,,,,,,,,2000,"6,500.70",...,0.209,1998,1983,1995,2005,2005,1992.0,2016,1984,...,2006,1996,1996.0,1993.0,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Angola,,,,,,,,,,,13940.7,,,,,13869.4,,,,,,,,,,,,,,2005,"13,869.40",...,0.714,2017,2013,1998,2006,2007,2000.0,...,...,...,2006,1990,1997.0,2000.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda,1.58,,,,,,,,,,83.7,,,,,,,,,,,,,,,,,,,2000,83.70,"5,194.12",1.101,1993,1997,1993,2007,1998,1992.0,2016,2005,2010,2003,1989,1997.0,1993.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Argentina,51823.68,,,,56689.61,,,62089.62,,,67503.73,,,,,,,,,,75178.82,,73154.41,,,,,,,2012,"73,154.41",41.16,1.752,1991,1981,1995,1992,2005,1990.0,2016,1992,2004,2005,1995,1997.0,1994.0,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,169.57,,,,,,,,,,480.81,,,,,,682.93,,,,484.07,,,,,,,,,2010,484.07,185.47,0.168,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,53.48,52.21,51.57,53.14,54.75,52.3,56.55,59.22,60.04,61.7,64.99,66.06,67.83,63.83,69.46,69.78,69.54,64.29,65.21,66.51,66.15,68.72,69.87,65.95,67.44,65.63,65.66,71.36,67.5,2018,67.50,26.20,0.003,1992,1976,1993,1991,2007,1989.0,2016,1975,2004,2004,1994,2000.0,1992.0,1974,-2.3747195213163725,-1.2258188086573463,3.04440566220671,3.0297327813323287,-4.474885844748864,8.126195028680689,4.721485411140587,1.384667342114151,2.764823451032651,5.332252836304687,1.646407139559944,2.679382379654853,-5.897095680377414,8.820303932320218,0.4606968039159335,-0.3439380911435868,-7.549611734253666,1.431015710063754,1.9935592700506235,-0.5412719891745593,3.885109599395303,1.673457508731091,-5.610419350221842,2.2592873388930927,-2.6838671411625183,0.04571080298644087,8.681084374048131,-5.409192825112107
40,Austria,14.5,14.61,13.98,14.08,13.92,14.24,14.34,14.43,14.59,14.56,14.49,14.08,14.09,14.06,12.09,12.09,12.12,12.16,12.77,12.02,11.37,11.68,11.58,11.53,11.81,11.84,12.15,11.95,11.83,2018,11.83,-18.39,0.001,1993,1982,1994,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992,0.7586206896551685,-4.312114989733053,0.7153075822603694,-1.1363636363636374,2.2988505747126458,0.7022471910112335,0.6276150627615054,1.1088011088011098,-0.20562028786839862,-0.4807692307692327,-2.8295376121463085,0.07102272727272575,-0.21291696238466543,-14.011379800853488,0.0,0.24813895781637188,0.3300330033003377,5.016447368421048,-5.873140172278778,-5.407653910149754,2.726473175021992,-0.8561643835616408,-0.4317789291882618,2.4284475281873474,0.25402201524131546,2.6182432432432474,-1.6460905349794326,-1.0041841004184036
31,Azerbaijan,3772.7,1925.1,2132.8,1701.9,1429.1,1295.8,1308.2,1515.9,1729.8,2346.7,2343.6,2548.2,2700.1,2777.6,2879.9,2852.0,2873.7,3084.5,3025.6,3193.0,3137.2,3087.6,3422.4,2767.12,,,,,,2013,"2,767.12",-26.65,0.295,2001,1998,2000,...,2000,1996.0,2017,2001,...,2004,2016,1998.0,1995.0,1993,-48.97288414133114,10.789049919484716,-20.203488372093027,-16.029143897996367,-9.32754880694143,0.9569377990430693,15.876777251184837,14.110429447852752,35.663082437275975,-0.13210039630118506,8.730158730158728,5.961070559610709,2.8702640642939152,3.6830357142857206,-0.9687836383207782,0.7608695652173849,7.335490830636468,-1.9095477386934703,5.532786885245905,-1.7475728155339862,-1.5810276679841868,10.843373493975909,-19.146797568957464,,,,,
