Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 tonnes of 
CO2 equivalent",%,kg,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
4,Afghanistan,,,,,,,,,,,,,,,,5942.65,,,,,,,,19610.0,,,,,,2013,19610.00,,0.608,2013,1985,2002,2015,2013,2004.0,2017,,2013,2013,,1995.0,2002.0,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Albania,96.1,136.4,108.5,96.1,96.1,93.0,83.7,77.5,74.4,77.5,111.72,114.82,114.83,114.82,117.92,114.97,117.92,117.89,120.98,120.96,,,,,,,,,,2009,120.96,25.87,0.041,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,0.41935483870967755,-0.20454545454545459,-0.11428571428571434,0.0,-0.032258064516128976,-0.09999999999999996,-0.07407407407407411,-0.039999999999999925,0.04166666666666659,0.4415483870967742,0.027747941281775816,8.709284096851695e-05,-8.708525646612485e-05,0.026998780700226516,-0.025016960651289034,0.025658867530660198,-0.0002544097693351521,0.02621087454406653,-0.00016531658125318424,,,,,,,,,
12,Algeria,,,,,9300.0,,,,,,6500.7,,,,,,,,,,,,,,,,,,,2000,6500.70,,0.209,1998,1983,1995,2005,2005,1992.0,2016,1984,,2006,1996,1996.0,1993.0,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Angola,,,,,,,,,,,13940.7,,,,,13869.4,,,,,,,,,,,,,,2005,13869.40,,0.714,2017,2013,1998,2006,2007,2000.0,,,,2006,1990,1997.0,2000.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Antigua and Barbuda,1.58,,,,,,,,,,83.7,,,,,,,,,,,,,,,,,,,2000,83.70,5194.12,1.101,1993,1997,1993,2007,1998,1992.0,2016,2005,2010,2003,1989,1997.0,1993.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Argentina,51823.68,,,,56689.61,,,62089.62,,,67503.73,,,,,,,,,,75178.82,,73154.41,,,,,,,2012,73154.41,41.16,1.752,1991,1981,1995,1992,2005,1990.0,2016,1992,2004,2005,1995,1997.0,1994.0,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,169.57,,,,,,,,,,480.81,,,,,,682.93,,,,484.07,,,,,,,,,2010,484.07,185.47,0.168,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,53.48,52.21,51.57,53.14,54.75,52.3,56.55,59.22,60.04,61.7,64.99,66.06,67.83,63.83,69.46,69.78,69.54,64.29,65.21,66.51,66.15,68.72,69.87,65.95,67.44,65.63,65.66,71.36,67.5,2018,67.50,26.20,0.003,1992,1976,1993,1991,2007,1989.0,2016,1975,2004,2004,1994,2000.0,1992.0,1974,-0.023747195213163725,-0.012258188086573463,0.0304440566220671,0.030297327813323286,-0.04474885844748864,0.08126195028680688,0.04721485411140587,0.013846673421141511,0.02764823451032651,0.05332252836304687,0.01646407139559944,0.02679382379654853,-0.05897095680377414,0.08820303932320218,0.004606968039159335,-0.0034393809114358683,-0.07549611734253667,0.014310157100637539,0.019935592700506235,-0.005412719891745593,0.03885109599395303,0.01673457508731091,-0.05610419350221842,0.02259287338893093,-0.026838671411625183,0.00045710802986440865,0.08681084374048131,-0.054091928251121066
40,Austria,14.5,14.61,13.98,14.08,13.92,14.24,14.34,14.43,14.59,14.56,14.49,14.08,14.09,14.06,12.09,12.09,12.12,12.16,12.77,12.02,11.37,11.68,11.58,11.53,11.81,11.84,12.15,11.95,11.83,2018,11.83,-18.39,0.001,1993,1982,1994,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992,0.007586206896551685,-0.04312114989733053,0.0071530758226036936,-0.011363636363636374,0.022988505747126457,0.007022471910112334,0.006276150627615053,0.011088011088011098,-0.0020562028786839863,-0.004807692307692327,-0.028295376121463087,0.0007102272727272576,-0.0021291696238466542,-0.14011379800853488,0.0,0.002481389578163719,0.0033003300330033767,0.05016447368421048,-0.058731401722787784,-0.05407653910149753,0.02726473175021992,-0.008561643835616408,-0.004317789291882618,0.024284475281873472,0.0025402201524131547,0.026182432432432474,-0.016460905349794327,-0.010041841004184036
31,Azerbaijan,3772.7,1925.1,2132.8,1701.9,1429.1,1295.8,1308.2,1515.9,1729.8,2346.7,2343.6,2548.2,2700.1,2777.6,2879.9,2852.0,2873.7,3084.5,3025.6,3193.0,3137.2,3087.6,3422.4,2767.12,,,,,,2013,2767.12,-26.65,0.295,2001,1998,2000,,2000,1996.0,2017,2001,,2004,2016,1998.0,1995.0,1993,-0.4897288414133114,0.10789049919484717,-0.20203488372093026,-0.16029143897996367,-0.0932754880694143,0.009569377990430693,0.15876777251184837,0.14110429447852751,0.3566308243727598,-0.0013210039630118504,0.08730158730158727,0.059610705596107094,0.02870264064293915,0.036830357142857206,-0.009687836383207781,0.007608695652173849,0.07335490830636468,-0.019095477386934703,0.05532786885245905,-0.017475728155339862,-0.01581027667984187,0.1084337349397591,-0.19146797568957463,,,,,
