Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
4.0,Afghanistan,,,,,,,,,,,,,,,,61.63,,,,,,,,66.0,,,,,,2013.0,66.0,,2.05,2013,1985,2002,2015,2013,2004.0,2017,,2013,2013,,1995.0,2002.0,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Albania,17.85,21.11,15.63,16.16,18.85,18.17,18.17,19.37,23.7,27.06,17.85,18.01,18.67,20.17,23.02,25.89,29.37,33.69,39.06,48.49,,,,,,,,,,2009.0,48.49,171.70,16.31,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,18.26330532212884,-25.95926101373756,3.390914907229682,16.646039603960403,-3.6074270557029156,0.0,6.6042927903137,22.35415591120288,14.177215189873415,-34.03547671840354,0.8963585434173678,3.6646307606885067,8.034279592929833,14.129895884977678,12.467419635099917,13.441483198146004,14.708886618998967,15.939447907390933,24.142345110087042,,,,,,,,,
12.0,Algeria,,,,,242.0,,,,,,280.33,,,,,,,,,,,,,,,,,,,2000.0,280.33,,9.03,1998,1983,1995,2005,2005,1992.0,2016,1984,,2006,1996,1996.0,1993.0,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,Angola,,,,,,,,,,,124.73,,,,,151.32,,,,,,,,,,,,,,2005.0,151.32,,7.79,2017,2013,1998,2006,2007,2000.0,,,,2006,1990,1997.0,2000.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,Antigua and Barbuda,,,,,,,,,,,2.27,,,,,,,,,,,,,,,,,,,2000.0,2.27,,29.87,1993,1997,1993,2007,1998,1992.0,2016,2005,2010,2003,1989,1997.0,1993.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,Argentina,509.26,,,,638.92,,,702.04,,,668.88,,,,,,,,,,1000.36,,1007.23,,,,,,,2012.0,1007.23,97.78,24.12,1991,1981,1995,1992,2005,1990.0,2016,1992,2004,2005,1995,1997.0,1994.0,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,Armenia,76.59,,,,,,,,,,12.13,,,,,,15.07,,,,17.21,,,,,,,,,2010.0,17.21,-77.53,5.98,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,Australia,1620.79,1596.16,1642.04,1684.87,1686.93,1693.48,1745.08,1798.4,1835.62,1867.47,1875.88,1960.0,2040.07,2121.25,2174.58,2194.34,2204.69,2213.55,2265.98,2250.31,2340.34,2267.93,2438.47,2506.79,2527.13,2531.84,2588.3,2662.48,2721.85,2018.0,2721.85,67.93,109.32,1992,1976,1993,1991,2007,1989.0,2016,1975,2004,2004,1994,2000.0,1992.0,1974,-1.5196293165678392,2.874398556535678,2.6083408443156033,0.12226462575748709,0.38827930026734686,3.0469801828188054,3.0554473147362966,2.0696174377224086,1.7351085736699392,0.4503419064295588,4.4842953707060085,4.08520408163265,3.9792752209483044,2.5140836770771915,0.9086812166027562,0.4716680186297432,0.4018705577654966,2.368593435883528,-0.6915330232393964,4.000782114464238,-3.093994889631434,7.519632440154678,2.8017568393295864,0.8113962477910054,0.18637743210677868,2.2299987360970692,2.865973805200318,2.229875905171115
40.0,Austria,216.37,225.94,214.48,205.89,197.52,196.73,214.48,200.68,212.37,204.1,209.69,220.39,227.95,239.31,238.65,244.39,234.49,226.82,213.42,199.59,200.5,192.3,187.18,186.34,177.71,174.66,168.39,160.06,149.0,2018.0,149.0,-31.14,16.76,1993,1982,1994,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992,4.422979156075238,-5.072143046826595,-4.005035434539353,-4.065277575404331,-0.3999594977723878,9.022518172114065,-6.434166355837366,5.82519433924656,-3.8941470075811133,2.738853503184715,5.102770756831508,3.4302826807023923,4.983549023908758,-0.2757929046007257,2.4051958935679787,-4.050902246409419,-3.2709283977994863,-5.9077682744026125,-6.480179926904688,0.4559346660654324,-4.089775561097251,-2.6625065002600126,-0.4487658937920736,-4.631319094129009,-1.7162793314951388,-3.5898316729646234,-4.946849575390454,-6.909908784205925
31.0,Azerbaijan,0.08,,,,,,,,,,,,,,,0.01,0.01,0.02,0.01,0.01,0.01,4.72,4.0,,,,,,,2012.0,4.0,4900.00,0.43,2001,1998,2000,,2000,1996.0,2017,2001,,2004,2016,1998.0,1995.0,1993,,,,,,,,,,,,,,,,0.0,100.0,-50.0,0.0,0.0,47100.0,-15.254237288135588,,,,,,
48.0,Bahrain,,,,,57.46,,,,,,52.0,,,,,,,,,,,,,,,,,,,2000.0,52.0,,78.24,1992,2012,1996,,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,Bangladesh,,,,,,,,,,,,3.98,,,,3.95,,,,,,,,,,,,,,2005.0,3.95,,0.03,1993,1981,1994,2005,2001,1990.0,2016,1992,,2007,2001,1996.0,1994.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,Barbados,2.38,,,,0.09,,,0.05,,,,,,,,,,,,,,,,,,,,,,1997.0,0.05,-97.90,0.19,1995,1992,1994,,2000,1992.0,2016,2006,,2004,1993,1997.0,1994.0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.0,Belarus,1.38,1.38,1.22,1.03,0.94,0.84,0.93,1.16,1.3,1.34,1.4,1.42,1.43,1.48,1.59,1.8,2.0,2.11,2.32,2.08,2.27,2.3,2.29,2.21,2.3,2.17,1.97,2.13,2.33,2018.0,2.33,69.41,0.25,1999,1995,1993,2003,2005,1988.0,2016,1991,,2004,2006,2001.0,2000.0,1988,0.0,-11.59420289855072,-15.573770491803273,-8.73786407766991,-10.638297872340424,10.714285714285724,24.73118279569891,12.068965517241391,3.0769230769230793,4.477611940298495,1.42857142857143,0.7042253521126767,3.4965034965034993,7.43243243243244,13.207547169811317,11.111111111111107,5.499999999999994,9.952606635071088,-10.344827586206886,9.134615384615381,1.3215859030836918,-0.4347826086956429,-3.493449781659392,4.072398190045242,-5.652173913043474,-9.21658986175115,8.121827411167509,9.389671361502357
56.0,Belgium,424.16,425.13,427.0,421.31,416.92,411.02,396.04,380.71,381.52,354.02,354.43,342.12,329.85,325.95,335.88,320.91,304.94,295.41,268.45,239.87,241.33,224.19,213.04,203.89,193.97,194.37,183.31,172.57,167.05,2018.0,167.05,-60.62,14.55,1993,1983,1997,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996,0.22868728781591155,0.43986545292028434,-1.3325526932084304,-1.041988084783173,-1.4151395951261714,-3.6445915040630537,-3.8708211291788808,0.21276036878463983,-7.208010065003146,0.11581266595108329,-3.473182292695314,-3.5864608909154625,-1.1823556161891873,3.04647952139899,-4.456948910325107,-4.9764731544669925,-3.125204958352454,-9.126299042009423,-10.646302849692676,0.608663025805648,-7.102308042928776,-4.973460011597308,-4.294968081111531,-4.865368581097645,0.2062174563076794,-5.690178525492618,-5.858927499863624,-3.198701976009725
84.0,Belize,,,,,3.99,,,,,,0.06,,,0.03,,,0.03,,,0.03,,,,,,,,,,2009.0,0.03,,0.1,1997,1986,1994,,2003,1998.0,2016,1998,2005,2010,1983,1998.0,1994.0,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204.0,Benin,,,,,,50.58,,,,,24.96,,,,,,,,,,,,,,,,,,,2000.0,24.96,,3.64,1997,1984,1994,1986,2002,1993.0,2016,2000,2004,2004,1997,1996.0,1994.0,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,Bhutan,,,,,0.72,,,,,,1.77,,,,,,,,,,,,,,,,,,,2000.0,1.77,,2.99,2002,2002,1995,,2002,2004.0,2017,2012,,,,2003.0,1995.0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,Bolivia (Plurinational State of),37.02,,,,48.38,,,,58.52,,52.74,,8.24,,13.42,,,,,,,,,,,,,,,2004.0,13.42,-63.74,1.48,1996,1979,1995,2003,1999,1994.0,2016,1990,2003,2003,1995,1996.0,1994.0,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
