Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,1000 t.1,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
4.0,Afghanistan,,,,,,,,,,,,,,,,13.86,,,,,,,,,,,,,,2005.0, 13.86 ,,0.54,2013,1985,2002,2015,2013,2004.0,2017,,2013,2013,,1995.0,2002.0,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Albania,0.57,0.91,0.6,0.61,0.57,0.54,0.51,0.45,0.43,0.38,0.57,0.65,0.66,0.74,0.82,0.27,1.02,1.19,1.34,1.6,,,,,,,,,,2009.0, 1.60 ,180.70,0.54,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,59.64912280701756,-34.06593406593407,1.6666666666666683,-6.557377049180333,-5.263157894736828,-5.55555555555556,-11.76470588235294,-4.444444444444448,-11.627906976744184,49.999999999999986,14.035087719298259,1.5384615384615397,12.121212121212114,10.810810810810805,-67.07317073170731,277.77777777777777,16.66666666666666,12.605042016806733,19.402985074626866,,,,,,,,,
12.0,Algeria,,,,,39.69,,,,,,45.64,,,,,,,,,,,,,,,,,,,2000.0, 45.64 ,,1.47,1998,1983,1995,2005,2005,1992.0,2016,1984,,2006,1996,1996.0,1993.0,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,Antigua and Barbuda,2.83,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,2000.0, 2.75 ,-2.83,36.18,1993,1997,1993,2007,1998,1992.0,2016,2005,2010,2003,1989,1997.0,1993.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,Argentina,79.2,,,,99.97,,,96.37,,,87.62,,,,,,,,,,114.63,,119.38,,,,,,,2012.0, 119.38 ,50.73,2.86,1991,1981,1995,1992,2005,1990.0,2016,1992,2004,2005,1995,1997.0,1994.0,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,Armenia,0.39,,,,,,,,,,0.64,,,,,,27.26,,,,29.44,,,,,,,,,2010.0, 29.44 ,7390.84,10.23,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,Australia,1585.75,1570.78,1652.95,1743.16,1764.91,1674.1,1762.21,1818.19,1743.77,1832.66,2343.29,2585.1,2775.52,2775.02,2512.63,2520.31,2482.62,2444.42,2511.92,2598.01,2378.2,2507.1,2518.19,2414.34,2499.95,2384.65,2465.53,2286.54,2121.03,2018.0, 2121.03 ,33.76,85.19,1992,1976,1993,1991,2007,1989.0,2016,1975,2004,2004,1994,2000.0,1992.0,1974,-0.9440327920542347,5.231159042004614,5.457515351341543,1.2477340003212556,-5.1453048597379,5.26312645600622,3.176692902661999,-4.093081581132889,5.097575941781319,27.862778693265515,10.3192519918576,7.366059340064217,-0.018014642301262467,-9.45542734827136,0.3056558267631858,-1.4954509564299652,-1.5386970216948153,2.761391250276139,3.427258829899047,-8.460706463793457,5.420065595828783,0.4423437437677056,-4.123993820958701,3.5458966011414987,-4.6120922418448265,3.3916927012349865,-7.25969669807304,-7.238447610800589
40.0,Austria,73.63,70.66,54.13,52.75,47.11,46.73,43.87,40.34,35.57,33.68,31.5,32.38,31.3,31.09,26.49,25.86,26.69,23.34,20.23,14.7,15.94,15.12,14.75,14.34,14.44,13.88,13.22,12.75,11.67,2018.0, 11.67 ,-84.15,1.31,1993,1982,1994,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992,-4.033681923129158,-23.393716388338515,-2.5494180676150053,-10.691943127962086,-0.8066227977074986,-6.120265354162208,-8.046501025757909,-11.824491819533968,-5.3134664042732656,-6.472684085510688,2.7936507936508015,-3.335392217418165,-0.6709265175718877,-14.795754261820527,-2.3782559456398604,3.209590100541384,-12.551517422255532,-13.324764353041985,-27.33564013840831,8.435374149659866,-5.144291091593478,-2.447089947089942,-2.7796610169491536,0.6973500697350046,-3.878116343490296,-4.755043227665707,-3.5552193645990973,-8.47058823529412
48.0,Bahrain,,,,,1177.63,,,,,,27.0,,,,,,,,,,,,,,,,,,,2000.0, 27.00 ,,40.63,1992,2012,1996,,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,Barbados,,,,,0.18,,,0.05,,,,,,,,,,,,,,,,,,,,,,1997.0, 0.05 ,,0.19,1995,1992,1994,,2000,1992.0,2016,2006,,2004,1993,1997.0,1994.0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
