Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
8.0,Albania,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,235.0,262.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,,,,,,,,,,,,,,,11.48936170212766,,
12.0,Algeria,...,...,...,...,...,...,...,...,...,...,2600.0,2600.0,2600.0,2600.0,2800.0,2800.0,2800.0,3000.0,4150.0,4200.0,2603.0,2915.0,3000.0,3046.909912,3117.449951,3654.939941,3900.0,3860.0,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,2.0,2.0,2.0,1998,1983,1995,2005,2005,1992.0,2016,1984,...,2006,1996,1996.0,1993.0,1974,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,7.142857142857142,38.333333333333336,1.2048192771084338,-38.023809523809526,11.986169804072224,2.9159519725557463,1.5636637333333359,2.3151337268681274,17.24133501574217,6.704899750909475,-1.0256410256410255
28.0,Antigua and Barbuda,1.139999986,...,...,...,...,0.550000012,...,...,...,...,0.660000026,0.949999988,0.970000029,0.819999993,1.090000033,1.25999999,1.230000019,2.099999905,1.399999976,1.600000024,1.600000024,1.200000048,1.200000048,0.720000029,0.680000007,0.74000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1997,1993,2007,1998,1992.0,2016,2005,2010,2003,1989,1997.0,1993.0,1983,43.93938645087266,2.1052675002770718,-15.463920774789997,32.926834427424176,15.596325858092902,-2.3809500982615144,70.73169695617703,-33.333331460317375,14.285717959183748,0.0,-24.999998125000037,0.0,-39.99999998333333,-5.555558387345576,8.823529762110734,,
51.0,Armenia,1325.400024,...,...,...,...,851,616,520,530,536,533.0,530.0,675.0,674.0,722.0,803.0,843.0,858.0,852.0,854.4000244,875.7999878,1002.799988,1314.400024,1348.699951,1312.0,1304.400024,1136.300049,1154.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,-0.5628517823639775,27.358490566037734,-0.14814814814814814,7.121661721068249,11.218836565096952,4.9813200498132,1.7793594306049825,-0.6993006993006993,0.28169300469483644,2.5046772927035095,14.501027856716753,31.07299957406861,2.6095500892961048,-2.7211353402058553,-0.5792664634146318,-12.887149026915386,1.6016853133128797
31.0,Azerbaijan,1706,...,...,...,...,1150,987,1098,681,454,547.0,511.0,545.0,607.0,707.0,798.0,1073.0,1112.0,1127.0,1262.0,1272.0,1506.0,1696.0,1738.0,1819.0,2016.0,2075.0,2066.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,1998,2000,...,2000,1996.0,2017,2001,...,2004,2016,1998.0,1995.0,1993,-6.581352833638025,6.653620352250488,11.376146788990827,16.474464579901152,12.871287128712872,34.46115288220552,3.6346691519105314,1.3489208633093526,11.978704525288377,0.7923930269413629,18.39622641509434,12.616201859229747,2.4764150943396226,4.660529344073648,10.830126443100605,2.9265873015873014,-0.43373493975903615
48.0,Bahrain,219.5,...,...,...,...,...,...,...,...,...,,,,,231.6000061,208.5,216.5,199.8999939,182.8999939,169.1000061,181.8000031,186.6000061,178.6000061,182.1999969,179.1000061,159.1000061,,,3,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3.0,3.0,,,1992,2012,1996,...,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,,,,-9.97409563539731,3.8369304556354913,-7.667439307159355,-8.504252385572485,-7.545100196966162,7.510346860951412,2.6402656315466277,-4.287245304650609,2.0156722715811823,-1.70142198284527,-11.166945459975615,,
50.0,Bangladesh,...,...,...,...,...,...,...,...,...,...,,,,,11.89999962,12.0,12.5,14.19999981,16.20000076,51.22999954,55.24000168,55.97000122,58.36000061,60.68999863,61.68999863,754.1500244,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,5.0,5,5,5,5,5.0,6.0,,,1993,1981,1994,2005,2001,1990.0,2016,1992,...,2007,2001,1996.0,1994.0,1983,,,,,0.8403393545654659,4.166666666666666,13.599998479999996,14.084513920849146,216.23455022603343,7.8274491040528265,1.3215052820396682,4.270143537438358,3.9924571549794536,1.6477179478888382,1122.4834513665478,,
52.0,Barbados,61.20000076,...,...,...,...,61.20000076,58.79999924,58.5,52.90000153,52.70000076,51.59999847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1992,1994,...,2000,1992.0,2016,2006,...,2004,1993,1997.0,1994.0,2002,,,,,,,,,,,,,,,,,
112.0,Belarus,...,...,...,...,...,...,...,...,...,...,,,,,1038.0,1034.0,1009.0,961.0,919.0,858.0,877.0,891.0,898.0,874.0,867.0,845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1995,1993,2003,2005,1988.0,2016,1991,...,2004,2006,2001.0,2000.0,1988,,,,,-0.3853564547206166,-2.4177949709864603,-4.757185332011893,-4.37044745057232,-6.637649619151251,2.2144522144522143,1.596351197263398,0.7856341189674524,-2.6726057906458798,-0.8009153318077803,-2.5374855824682814,,
56.0,Belgium,...,...,...,...,670,716,711.7000122,645.7999878,622.5,641,676.0,679.0,663.0,685.0,658.0,636.0,645.0,648.0,612.0,612.0,612.0,602.0,636.0,639.0,632.0,632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1983,1997,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996,0.4437869822485207,-2.3564064801178204,3.3182503770739067,-3.9416058394160585,-3.343465045592705,1.4150943396226416,0.46511627906976744,-5.555555555555555,0.0,0.0,-1.6339869281045754,5.647840531561462,0.4716981132075472,-1.0954616588419406,0.0,,
84.0,Belize,...,...,...,...,...,1.222408056,1.248428822,1.278712153,1.270384192,1.265238523,1.391273141,1.557651877,1.600390553,1.534653068,1.610000014,1.653407693,1.685099959,1.827999949,1.867300034,1.852800012,1.918200016,1.936499953,1.989400029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,1986,1994,...,2003,1998.0,2016,1998,2005,2010,1983,1998.0,1994.0,1990,11.95873988341445,2.7437886880291624,-4.107590167710775,4.90970549442775,2.6961291069901803,1.9167847188672833,8.480208502574659,2.1498953006808885,-0.776523415411666,3.5297929391420895,0.9540161008944597,2.7317364980075483,,,,,
60.0,Bermuda,...,...,...,...,...,...,...,...,...,...,,,,,,2.579999924,2.599999905,2.349999905,2.099999905,1.850000024,1.789999962,1.809999943,1.659999967,1.549999952,1.389999986,1.419999957,1.320000052,,,,,,,,,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7,7,7,7,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,0.7751930848506404,-9.61538496671599,-10.638298302399294,-11.904756776643746,-3.243246552520049,1.1173173980212632,-8.287291752693713,-6.62650705944261,-10.322578771279858,2.1582713167020025,-7.042247044237058,
68.0,Bolivia (Plurinational State of),...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,133.7156525,144.8075714,162.2667999,165.3218994,172.6494598,178.2755585,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8.0,9.0,9.0,,1996,1979,1995,2003,1999,1994.0,2016,1990,2003,2003,1995,1996.0,1994.0,1976,,,,,,,,,,,,8.29515370311639,12.056847809271384,1.8827631418643707,4.432298701257229,3.2586830601829666,
70.0,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,312.0549316,314.2464905,316.4380493,318.6296387,320.8211975,323.0127869,325.2043457,327.3959045,329.5874939,331.7790527,328.559906,302.1762085,304.484314,306.7556152,300.0090637,310.6203003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,2009,2002,2017,2007,1993.0,2017,1992,2007,2010,1994,2002.0,2000.0,1993,0.7022990756028861,0.6974012013667964,0.6925808716265519,0.6878075777700701,0.6831186396279186,0.6784743170797353,0.6739020646488231,0.6694003711949473,0.6649399144571109,-0.9702682172978578,-8.030102583484437,0.763827672422467,0.7459501509821748,-2.1993245325277453,3.5369720064894103,,
