Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
8.0,Albania,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,873.0,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,,,,,,,,,,,,,,,5.383734249713632,,
12.0,Algeria,...,...,...,...,...,...,...,...,...,3275,4266.0,4266.0,4266.0,4318.0,4518.0,4718.0,4770.0,5070.0,5768.0,6013.0,6187.0,6227.0,6422.0,,3038.0,3548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1983,1995,2005,2005,1992.0,2016,1984,...,2006,1996,1996.0,1993.0,1974,0.0,0.0,1.2189404594467885,4.6317739694302915,4.426737494466578,1.1021619330224672,6.289308176100629,13.767258382642996,4.247572815533981,2.8937302511225678,0.6465168902537579,3.1315240083507305,,,16.787360105332453,,
20.0,Andorra,...,...,...,...,...,...,...,...,...,...,,,,,,,,7.552783012,7.172842979,6.806888103,6.590263844,6.502994061,6.395152092,5.615816116,5.967377186,6.010172844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,…,2015,...,...,2009.0,2017,2012,...,...,...,2002.0,2011.0,1997,,,,,,,,-5.030464034202279,-5.101950190062846,-3.182427207882669,-1.3242229001112507,-1.6583433413656916,-12.186355614198888,6.26019553949369,0.7171602643185119,,
28.0,Antigua and Barbuda,2.029999971,...,...,...,...,2.299999952,...,...,...,...,4.570000172,3.029999971,3.309999943,2.980000019,3.650000095,4.039999962,3.5,4.650000095,5.070000172,5.03000021,4.869999886,5.179999828,5.349999905,4.260000229,3.450000048,3.640000105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1997,1993,2007,1998,1992.0,2016,2005,2010,2003,1989,1997.0,1993.0,1983,-33.6980337645379,9.240923256761302,-9.969786395250086,22.483223883496223,10.684927584912824,-13.366335818792258,32.857145571428575,9.032259535900074,-0.7889538588362881,-3.1809208214724967,6.365502038124691,3.2818548773125573,-20.373826081404385,-19.014087733749744,5.5072479523629205,,
51.0,Armenia,868.2000122,...,...,...,...,436.5,407.6000061,338.7000122,251.6000061,215.6000061,204.8000031,196.3999939,182.3000031,163.8999939,124.9000015,116.3000031,134.3000031,93.69999695,99.5,93.40000153,93.30000305,96.80000305,104.4000015,108.8000031,112.3000031,117.6999969,119.6999969,121.1999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,-4.101566930103235,-7.179221607908614,-10.093257754859577,-23.79499319798327,-6.885507043008325,15.47721368891348,-30.230830389310693,6.189971439481462,-6.130651728643219,-0.1070647519934751,3.7513396415692832,7.851237820802942,4.21456085898619,3.2169116730475533,4.808542877057146,1.69923538884987,1.253132864533934
36.0,Australia,...,...,...,...,...,...,...,...,...,...,,12388.7998,,,,10331.40039,,,,3453.0,3196.0,2952.0,4686.0,5390.0,5308.0,5124.0,3390.0,3450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1976,1993,1991,2007,1989.0,2016,1975,2004,2004,1994,2000.0,1992.0,1974,,,,,,,,,,-7.442803359397625,-7.634543178973717,58.739837398373986,15.023474178403756,-1.5213358070500929,-3.4664657121326297,-33.840749414519905,1.7699115044247788
40.0,Austria,603.7000122,604.4000244,632.7999878,625.7999878,618.7999878,611.0999756,609.5,604.2999878,581.4000244,549.2999878,,,,,,,,,,,587.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1982,1994,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992,,,,,,,,,,,,,,,,,
31.0,Azerbaijan,...,...,...,...,...,...,...,...,...,...,,,,422.2999878,504.7000122,497.6000061,493.1000061,363.7000122,362.7000122,362.7000122,362.7000122,274.8999939,249.6999969,271.2000122,284.7999878,288.8999939,281.2000122,255.6000061,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2001,1998,2000,...,2000,1996.0,2017,2001,...,2004,2016,1998.0,1995.0,1993,,,,19.512201463530328,-1.406777477387196,-0.9043408249266902,-26.24213999173179,-0.2749518741973801,0.0,0.0,-24.20733811599248,-9.166968919310705,8.610338633127954,5.014740039897385,1.4396089450956184,-2.6652758264388536,-9.103842457087916
48.0,Bahrain,105,...,...,...,...,...,...,...,...,...,,,,,157.1000061,162.3999939,169.6000061,171.8000031,199.6000061,219.8999939,235.1000061,242.8999939,244.3999939,252.0,263.5,260.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,2012,1996,...,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,,,,3.3736394616218903,4.433505215790531,1.2971679957976112,16.181607973440137,10.170334258321446,6.912238572826992,3.317731857770461,0.6175380970233939,3.109658874668246,4.563492063492063,-1.1385199240986716,,
50.0,Bangladesh,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,20.68000031,22.07999992,23.96999931,80.16000366,83.94000244,84.41999817,776.3200073,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,3.0,3.0,3.0,4.0,,,1993,1981,1994,2005,2001,1990.0,2016,1992,...,2007,2001,1996.0,1994.0,1983,,,,,,,,,,6.769823931400117,8.559779877028188,234.41804742379864,4.715567125012778,0.571831922858351,819.5925422039134,,
112.0,Belarus,...,...,...,...,...,...,...,...,...,...,,,,,841.0,839.0,803.0,777.0,700.0,680.0,615.0,602.0,652.0,595.0,627.0,611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1995,1993,2003,2005,1988.0,2016,1991,...,2004,2006,2001.0,2000.0,1988,,,,,-0.23781212841854932,-4.290822407628129,-3.23785803237858,-9.90990990990991,-2.857142857142857,-9.558823529411764,-2.113821138211382,8.305647840531561,-8.742331288343557,5.378151260504202,-2.5518341307814993,,
56.0,Belgium,...,...,...,...,602.4000244,663.5,416.7999878,415.2999878,414.7999878,409.6000061,722.2000122,728.0999756,715.4000244,738.2999878,722.0999756,360.0,363.0,363.0,351.0,342.0,587.2000122,579.7299805,571.6199951,567.9000244,579.3499756,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,1993,1983,1997,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996,0.8169431321424793,-1.7442592536189048,3.2010012047743577,-2.1942316765131142,-50.14540753849598,0.8333333333333334,0.0,-3.3057851239669422,-2.564102564102564,71.69590999999998,-1.2721443366482166,-1.3989246153882544,-0.6507768678296846,2.0161913555290187,,,
84.0,Belize,...,...,...,...,...,3.518059254,...,...,...,4.46999979,4.920897007,5.060207844,5.056996346,5.658564568,6.35333252,6.372941017,6.414999962,6.715000153,6.869732857,7.083522797,7.360188961,7.494476795,7.646801949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,1986,1994,...,2003,1998.0,2016,1998,2005,2010,1983,1998.0,1994.0,1990,2.831004932674463,-0.06346573300951859,11.895761452859869,12.27816601985976,0.3086332556697225,0.6599613096654517,4.6765423659717325,2.3042844448912065,3.1120560937410535,3.9057707856488286,1.8245161192404244,2.0324988410348475,,,,,
204.0,Benin,...,...,...,...,...,...,...,...,...,...,,,,,24.0,25.0,25.0,26.0,27.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,1984,1994,1986,2002,1993.0,2016,2000,2004,2004,1997,1996.0,1994.0,1982,,,,,4.166666666666666,0.0,4.0,3.8461538461538463,3.7037037037037033,,,,,,,,
60.0,Bermuda,...,...,...,...,...,...,...,...,...,...,,,,,,3.400000095,3.450000048,3.349999905,2.900000095,3.299999952,2.380000114,3.480000019,3.309999943,2.789999962,2.519999981,2.690000057,2.660000086,2.630000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4705868118512486,-2.8985548292375087,-13.432830530184733,13.793098065398498,-27.878783375206545,46.21848118953494,-4.885059628501124,-15.709969485035721,-9.67741880564227,6.746034812767741,-1.1152405339893294,-1.1278184597773036
68.0,Bolivia (Plurinational State of),63.17974472,...,...,...,...,78.92198944,87.43237305,92.16334534,99.89286041,101.4444351,104.9373474,104.579361,107.9630203,112.0631866,115.4654617,120.1135483,124.2223129,129.0085907,133.0616455,138.3883362,159.5605316,184.7628021,187.2491302,201.2688904,211.0948944,220.9508057,224.6799622,,6.0,,,,,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0,,1996,1979,1995,2003,1999,1994.0,2016,1990,2003,2003,1995,1996.0,1994.0,1976,-0.34114298566688117,3.2354943342979414,3.797750645180865,3.0360327983034634,4.025521165867385,3.420733679216436,3.852993627524067,3.141693725982221,4.003175129831083,15.299118394921488,15.794802290568452,1.3456865081827034,7.4872231369115365,4.882028206381955,4.668948213083833,1.6877768280525518,
70.0,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,164.6234741,162.5267029,155.4223328,153.6954346,151.7782745,151.057312,141.8353882,150.1207886,146.7675476,188.7089996,187.5469971,156.4369965,156.5769958,155.7859955,153.7319946,158.3029938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,2009,2002,2017,2007,1993.0,2017,1992,2007,2010,1994,2002.0,2000.0,1993,-1.2736769233325311,-4.371201761455294,-1.1111004248161649,-1.2473760882940303,-0.47501034148336757,-6.104917185339552,5.841560773476972,-2.233695300478855,28.576788728736652,-0.6157642202878806,-16.58784255735759,0.08949244944113939,-0.5051829586833719,-1.318475960183472,2.9733558143790506,,
72.0,Botswana,...,...,...,...,...,...,...,...,...,...,,,,,,,,60.57598877,61.81318283,65.1848526,,65.69999695,60.90000153,77.59999847,66.5,66.59999847,72.09999847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1977,1996,...,2003,1991.0,2016,1997,2008,2002,1990,1996.0,1994.0,1998,,,,,,,,2.042383599708925,5.454612779401505,,,-7.305929441142846,27.421997570514684,-14.304122021717872,0.15037363909774845,8.258258447975006,
76.0,Brazil,...,...,...,...,...,...,...,...,...,...,6774.0,6778.0,6951.799805,7135.100098,7126.5,7505.100098,7786.600098,8143.600098,8364.299805,8419.200195,9111.099609,9355.700195,9601.0,9382.0,10132.06738,9723.551758,9890.359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1975,1994,2015,2002,1990.0,2016,1993,2004,2004,1988,1997.0,1994.0,1977,0.059049306170652495,2.5641753467099386,2.6367314672692914,-0.12053226838976701,5.312567150775274,3.7507827520517103,4.584799469690192,2.7101000091372693,0.6563656406383305,8.218113335883224,2.6846439672153366,2.6219288763773876,-2.2810123945422354,7.994749307183974,-4.03190786913224,1.715500890533753,
100.0,Bulgaria,1198.900024,1031.5,926.7000122,782.5,701,591.5,587.9000244,489,515.7000122,484.2999878,468.0,424.1000061,392.7000122,397.7999878,388.8999939,384.7000122,399.2000122,401.7000122,397.8999939,385.2000122,371.4100037,370.2600098,375.4500122,387.8200073,366.4500122,380.8599854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,1991,1996,1999,2002,1990.0,2016,1976,2000,2004,1996,2001.0,1995.0,1974,-9.380340576923082,-7.403912626352582,1.2986950449603254,-2.237303713662902,-1.0799644550984457,3.7691706628960695,0.6262524858710413,-0.9459841136644048,-3.191752172580273,-3.5799605563979258,-0.30962922068435034,1.4017183229707857,3.2947115988933726,-5.510286910873353,3.9323162014619863,,
108.0,Burundi,...,...,...,...,...,...,...,...,...,...,,,,,,,,21.30947113,21.81116295,22.268507,22.36557388,24.6539135,27.08336067,27.09512329,28.58416367,31.47306633,25.17000008,26.53000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,1988,1997,2011,2001,1997.0,...,2002,2004,2005,...,1997.0,1997.0,1982,,,,,,,,2.3543138022496826,2.0968347769828553,0.4358930753642346,10.231526507112378,9.854204972366757,0.043431168470271474,5.495602895261817,10.10665448656103,-20.026857834287163,5.403260252989241
120.0,Cameroon,...,...,...,...,...,...,...,...,...,...,,,,,,81.30000305,,,46.56169891,85.43759918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,1981,1995,1983,2002,1989.0,2016,2006,2002,2009,1985,1997.0,1994.0,1982,,,,,,,,,83.49330282201254,,,,,,,,
124.0,Canada,...,...,...,...,...,5201,...,...,...,...,,,,,,,,,,5317.0,,5124.0,,5033.0,,5021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1975,1993,...,2002,1988.0,2016,1981,2002,2001,2003,2016.0,1992.0,1976,,,,,,,,,,,,,,,,,
136.0,Cayman Islands,...,...,...,...,...,...,...,...,...,...,,,,,2.620896816,2.917477131,3.223419666,3.349313498,3.410927296,3.650801897,3.526730299,3.6095016,3.618453979,3.630740643,3.630833149,3.868712187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.315985932351177,10.486544410208772,3.905598558199032,1.8395948315018025,7.032533390005153,-3.3984752254553787,2.3469699688538666,0.248022580181144,0.33955562434418174,0.0025478548069251096,6.551637826307617,,
152.0,Chile,...,...,...,...,...,851,...,...,...,...,919.2000122,915.4000244,919.0999756,920.0,932.1199951,934.6900024,972.4899902,971.2199707,979.9505005,987.9299927,1009.655884,1064.390015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1975,1994,1983,2002,1990.0,2017,1981,2005,2005,1997,1997.0,1994.0,1980,-0.41340162636694316,0.4041895457043629,0.09792453747074245,1.3173907717391287,0.27571635771254177,4.044120264787368,-0.1305946089726641,0.8989240402158877,0.8142750267415146,2.1991326774707463,5.421067897228234,,,,,,
344.0,"China, Hong Kong Special Administrative Region",873,...,...,...,...,919,928,913,916,911,924.0,940.0,949.0,974.0,955.0,968.0,963.0,951.0,956.0,952.0,936.0,923.0,935.0,933.0,959.0,973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7316017316017316,0.9574468085106382,2.634351949420443,-1.9507186858316223,1.3612565445026177,-0.5165289256198348,-1.2461059190031152,0.5257623554153523,-0.41841004184100417,-1.680672268907563,-1.3888888888888888,1.3001083423618636,-0.21390374331550802,2.786709539121115,1.4598540145985401,,
446.0,"China, Macao Special Administrative Region",34.59999847,...,...,...,...,46.18999863,46.45000076,46.63000107,48.09000015,47.99000168,48.84999847,48.36999893,49.08000183,51.63000107,53.38999939,55.86000061,60.36000061,65.83000183,67.45999908,68.12000275,67.15000153,70.55000305,75.27999878,78.44999695,83.48999786,84.94000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9825988844089343,1.4678580022867063,5.195597279789258,3.4088674869748576,4.626336857502632,8.055853832544383,9.062294838833667,2.476070491702738,0.9783629988154969,-1.423959455139629,5.063293287463315,6.704458576206964,4.210943439656628,6.424475597127481,1.7367404685186778,,
170.0,Colombia,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,3138.511719,3200.467285,3128.585205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,1981,1995,...,2001,1993.0,2018,1998,2008,2008,...,1999.0,1995.0,1983,,,,,,,,,,,,,,,1.974042844094924,-2.245987026235149,
188.0,Costa Rica,...,...,...,...,...,...,...,...,...,...,,,,,,,,,275.3124695,277.8114929,276.7119446,280.5525513,282.5433655,260.8681641,266.2124023,273.1662598,286.5297852,289.3631897,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,,1995,1975,1994,2007,2002,1991.0,2016,1992,2009,2007,1992,1998.0,1994.0,1977,,,,,,,,,0.9077044002178761,-0.3957893492893856,1.3879439521672257,0.7096047392102216,-7.671460047077266,2.0486356464529614,2.612146331245503,4.892084919193236,0.9888690971594073
