Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
8.0,Albania,...,...,...,...,...,...,,,,,,,,,,,,,,,42.09999847,42.90000153,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,,,,,,,,,,,,,,,1.9002448671585297,,
12.0,Algeria,...,...,...,...,...,...,,,,,,,,,,,,,,1563.0,1806.0,2387.0,3107.0,2499.0,,,,,,,,,,,,,,,,,,,,,,,,,1998,1983,1995,2005,2005,1992.0,2016,1984,...,2006,1996,1996.0,1993.0,1974,,,,,,,,,,,,,,15.547024952015356,32.17054263565892,30.163385002094678,-19.568715803025427
20.0,Andorra,...,...,...,...,35.07013702,34.62331772,34.54969025,34.82868576,32.29543304,31.41528702,35.17346191,38.03936386,13.65162468,11.835042,5.866518974,0.00990137,2.518495798,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,…,2015,...,...,2009.0,2017,2012,...,...,...,2002.0,2011.0,1997,0.8075195695857258,-7.2734662957319705,-2.7252956135001494,11.962885736512362,8.147909800101907,-64.111848110175,-13.306714201287285,-50.43094081119441,-99.83122239877035,25335.83158694201,-100.0,,,,,,
51.0,Armenia,581,805,756,767,822,581,649.0,257.0,249.0,486.0,379.0,279.0,411.0,249.0,241.0,243.0,519.0,677.0,841.0,178.0,292.0,362.0,308.7999878,174.1000061,,,,,,,,,,,,,,,,,,,,,,,,,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,-60.40061633281972,-3.11284046692607,95.18072289156626,-22.016460905349795,-26.385224274406333,47.31182795698925,-39.416058394160586,-3.2128514056224895,0.8298755186721992,113.58024691358024,30.443159922928707,24.224519940915805,-78.83472057074911,64.04494382022472,23.972602739726025,-14.696135966850829,-43.62046211842499
31.0,Azerbaijan,...,...,...,...,...,...,,,,,,,,,,,,,,736.0,730.0,584.0,554.5999756,516.4000244,,,,,,,,,,,,,,,,,,,,,,,,,2001,1998,2000,...,2000,1996.0,2017,2001,...,2004,2016,1998.0,1995.0,1993,,,,,,,,,,,,,,-0.8152173913043478,-20.0,-5.034250753424659,-6.88783860090743
48.0,Bahrain,0,...,...,...,...,...,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.20000076,23.60000038,2.700000048,4.199999809,4.599999905,0.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,1992,2012,1996,...,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,,,,,,,,,,,inf,1.7241362366231194,-88.55932201472278,55.55554571604956,9.523812242630495,-100.0
112.0,Belarus,285,176,80,75,73,72,68.0,63.0,54.0,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,1999,1995,1993,2003,2005,1988.0,2016,1991,...,2004,2006,2001.0,2000.0,1988,-7.352941176470589,-14.285714285714285,,,,,,,,,,,,,,,
70.0,Bosnia and Herzegovina,...,...,...,...,...,...,,,,,,,,281.3315125,288.2739868,357.071228,355.0630188,333.3013611,331.8520508,326.6191711,300.1780701,304.4356079,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,2009,2002,2017,2007,1993.0,2017,1992,2007,2010,1994,2002.0,2000.0,1993,,,,,,,,2.467720106541572,23.865226954290012,-0.5624113741250556,-6.128956424002555,-0.43483479791887236,-1.5768712856783575,-8.095391617996793,1.4183373883980361,,
188.0,Costa Rica,...,...,...,...,...,...,,,,,,,,,357.7228699,338.2623901,306.7867432,318.3864746,317.1419983,301.5273743,311.240448,193.9715576,89.88999939,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1995,1975,1994,2007,2002,1991.0,2016,1992,2009,2007,1992,1998.0,1994.0,1977,,,,,,,,,-5.440099428208231,-9.305098001198099,3.781040627442599,-0.3908697131570845,-4.923543423356171,3.2212908438409715,-37.677908238970275,-53.65815457575106,
192.0,Cuba,...,...,...,...,...,...,,,,,3643836.0,2764384.0,4013699.0,4131507.0,5676712.0,4964384.0,4353425.0,4687671.0,5136986.0,6432877.0,6531507.0,4131507.0,4230137.0,5416438.0,,,,,,,,,,,,,,,,,,,,,,,,,1994,1990,1994,2008,2002,1992.0,2016,2001,2008,2007,1984,1997.0,1994.0,1981,,,,,-24.135334301543757,45.19325100998993,2.935147852392519,37.400517535127015,-12.548249761481648,-12.306844111978444,7.677770950458547,9.585037004516742,25.226679613298536,1.5332175634634395,-36.7449655952294,2.3872645017907512,28.04403261643772
218.0,Ecuador,...,...,...,...,...,...,,,,,,,,,,,,381762.1563,225006.1719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1975,1993,2004,2000,1990.0,2017,1991,2004,2004,2012,1995.0,1993.0,1975,,,,,,,,,,,,-41.06116381970991,,,,,
222.0,El Salvador,...,...,...,...,...,...,,,,,,,,83042.0,82711.0,82391.0,82193.0,83040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,1987,1994,...,1998,1992.0,2017,1999,1999,2008,...,1997.0,1995.0,1991,,,,,,,,-0.39859348281592444,-0.38688928921183396,-0.24031751040769017,1.0305013808961834,,,,,,
268.0,Georgia,622,36,223,283,136,145,280.0,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,1999,1996,1994,2000,1999,1996.0,2017,1997,2007,2006,1996,1999.0,1994.0,1992,,,,,,,,,,,,,,,,,
364.0,Iran (Islamic Republic of),...,...,...,...,...,...,,,,,3940.0,4155.0,4423.0,4622.0,4903.0,5192.0,5417.0,5045.0,5147.0,5408.0,5408.0,5524.0,5489.0,5845.0,,,,,,,,,,,,,,,,,,,,,,,,,1993,1976,1996,2008,2005,1990.0,...,1975,2004,2006,...,1997.0,1996.0,1975,,,,,5.456852791878172,6.450060168471721,4.49920868189012,6.079619212462138,5.894350397715685,4.333590138674884,-6.8672697064796,2.0218037661050547,5.070915096172528,0.0,2.1449704142011834,-0.6335988414192614,6.485698670067408
