Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
8.0,Albania,...,...,...,...,...,...,,,,,,,,,,,,,,10927.0,12913.0,11794.0,13898.0,11529.0,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,,,,,,,,,,,,,,18.175162441658276,-8.66568574304964,17.839579447176533,-17.0456180745431
12.0,Algeria,...,...,...,...,...,...,354.0,324.0,320.0,348.0,343.0,339.0,376.0,370.0,365.0,358.0,352.0,345.0,338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1983,1995,2005,2005,1992.0,2016,1984,...,2006,1996,1996.0,1993.0,1974,-8.47457627118644,-1.2345679012345678,8.75,-1.4367816091954022,-1.1661807580174928,10.914454277286136,-1.5957446808510638,-1.3513513513513513,-1.9178082191780823,-1.675977653631285,-1.9886363636363635,-2.0289855072463765,,,,,
20.0,Andorra,"5,734","4,177",...,...,...,...,5023.0,3953.0,5151.0,4211.0,2650.0,2617.0,2131.0,1684.0,3882.0,3478.0,3391.0,2135.0,2652.0,4273.0,4593.0,3545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,…,2015,...,...,2009.0,2017,2012,...,...,...,2002.0,2011.0,1997,-21.30201075054748,30.306096635466734,-18.2488837119006,-37.06957967228687,-1.2452830188679245,-18.570882690103172,-20.976067573908963,130.52256532066508,-10.407006697578568,-2.501437607820587,-37.03922146859334,24.215456674473067,61.12368024132731,7.488883688275216,-22.81733072066188,,
51.0,Armenia,...,"1,887",...,...,...,...,936.0,1089.0,2602.0,2878.0,2100.0,2837.0,2276.0,3194.0,1526.0,2885.0,3017.0,3229.0,2020.0,2201.0,1899.0,2202.0,2344.0,1583.0,,,,,,,,,,,,,,,,,,,,,,,,,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,16.346153846153847,138.93480257116622,10.607225211375864,-27.032661570535094,35.095238095238095,-19.77440958759253,40.33391915641476,-52.22291797119599,89.05635648754915,4.575389948006933,7.026847862114684,-37.441932486838034,8.96039603960396,-13.72103589277601,15.955766192733018,6.448683015440508,-32.465870307167236
31.0,Azerbaijan,"3,688","3,824",...,...,...,...,3450.0,3370.0,4258.0,4570.0,4238.0,3442.0,4156.0,3832.0,3055.0,3273.0,3739.0,3560.0,2857.0,2597.0,2488.0,2307.0,2634.0,2108.0,,,,,,,,,,,,,,,,,,,,,,,,,2001,1998,2000,...,2000,1996.0,2017,2001,...,2004,2016,1998.0,1995.0,1993,-2.318840579710145,26.350148367952524,7.32738374823861,-7.264770240700219,-18.782444549315716,20.74375363160953,-7.795957651588066,-20.27661795407098,7.135842880523732,14.237702413687748,-4.787376303824551,-19.747191011235955,-9.100455022751138,-4.197150558336542,-7.274919614147909,14.174252275682706,-19.96962794229309
50.0,Bangladesh,"16,399",...,...,...,...,...,,,,,10411.0,8460.0,9016.0,9068.0,9486.0,7677.0,8379.0,7041.0,7801.0,10304.0,9229.0,9479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1981,1994,2005,2001,1990.0,2016,1992,...,2007,2001,1996.0,1994.0,1983,,,,,-18.739794448179808,6.57210401891253,0.5767524401064774,4.609616232906926,-19.07020872865275,9.14419695193435,-15.968492660221983,10.793921317994604,32.08563004742982,-10.432841614906833,2.708852530068263,,
112.0,Belarus,"8,889","5,104",...,...,...,...,8433.0,8110.0,7168.0,7253.0,8376.0,8803.0,8371.0,7030.0,9407.0,10466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1995,1993,2003,2005,1988.0,2016,1991,...,2004,2006,2001.0,2000.0,1988,-3.830190916637021,-11.615289765721332,1.1858258928571428,15.483248311043706,5.097898758357211,-4.907417925707145,-16.019591446661092,33.8122332859175,11.257574146911873,,,,,,,,
56.0,Belgium,...,...,...,...,...,...,,,,,,,,,,,,,2702.0,2678.0,2225.0,2340.0,2568.0,1951.0,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1993,1983,1997,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996,,,,,,,,,,,,,-0.8882309400444115,-16.915608663181477,5.168539325842696,9.743589743589745,-24.02647975077882
84.0,Belize,...,...,...,...,...,...,,38242.0,16769.0,10411.0,12297.0,45793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,1986,1994,...,2003,1998.0,2016,1998,2005,2010,1983,1998.0,1994.0,1990,,-56.15030594634172,-37.9152006678991,18.115454807415237,272.3916402374563,,,,,,,,,,,,
60.0,Bermuda,...,...,...,...,...,...,,,,,,,61.0,57.0,56.0,57.0,47.0,42.0,42.0,41.0,41.0,41.0,41.0,41.0,,,,,,,,,,,,,"2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4",,,,,,,,,,,,,,,,,,,,,-6.557377049180328,-1.7543859649122806,1.7857142857142856,-17.543859649122805,-10.638297872340425,0.0,-2.380952380952381,0.0,0.0,0.0,0.0
70.0,Bosnia and Herzegovina,...,...,...,...,...,...,5205.0,7122.0,6515.0,5142.0,6995.0,7220.0,5811.0,6260.0,5812.0,6987.0,14483.0,3962.0,8057.0,10267.0,14568.0,7584.0,9350.0,8386.0,,,,,,,,,,,,,,,,,,,,,,,,,2001,2009,2002,2017,2007,1993.0,2017,1992,2007,2010,1994,2002.0,2000.0,1993,36.829971181556196,-8.522886829542262,-21.074443591711436,36.03656164916375,3.216583273766976,-19.515235457063714,7.726725176389605,-7.156549520766774,20.216792842395044,107.28495777873192,-72.64378927017883,103.35689045936395,27.42956435397791,41.89149702931723,-47.94069192751236,23.285864978902953,-10.310160427807487
