Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
8.0,Albania,-237431.80057740211,-148153.37180042267,-132649.2574789524,-117929.00030183792,-103992.60026955605,-90840.0573823452,-78471.37163949013,-66886.54304099083,-56085.57158780098,-46068.457278728485,-36835.2001144886,-28385.80009484291,-20720.25722026825,-13838.571489810944,-7740.74290394783,-2426.771462917328,2103.342833042145,5849.5999846458435,8811.999991893768,10927.0,12913.0,11794.0,13898.0,11529.0,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1999.0,2003,1994.0,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,-0.14763127439293186,-0.16148198071128553,-0.17860412269117873,-0.20042470943569496,-0.22938385005059983,-0.2700485048496951,-0.33212356667685294,-0.44064003212707464,-0.6864937263735167,-1.8667247267336928,1.781096782109146,0.5064277925026833,0.24001361893461617,0.18175162441658277,-0.08665685743049639,0.17839579447176532,-0.170456180745431
12.0,Algeria,186.63736262591556,271.77722277585417,285.31668331613764,297.6933066942729,308.90709290932864,318.9580419603735,354.0,324.0,320.0,348.0,343.0,339.0,376.0,370.0,365.0,358.0,352.0,345.0,338.0,337.5734265651554,330.181818170473,321.627372614108,311.9100898941979,301.02997001074255,,,,,,,,,,,,,,,,,,,,,,,,,1998.0,1983,1995.0,2005,2005,1992.0,2016,1984,,2006,1996,1996.0,1993.0,1974,-0.0847457627118644,-0.012345679012345678,0.0875,-0.014367816091954023,-0.011661807580174927,0.10914454277286136,-0.015957446808510637,-0.013513513513513514,-0.019178082191780823,-0.01675977653631285,-0.019886363636363636,-0.020289855072463767,-0.001262051582380512,-0.02189629814731802,-0.025908287754198175,-0.03021285981019111,-0.03488223124537571
20.0,Andorra,5734,4177,4482.258486092091,4284.691641740501,4104.023483656347,3940.254011839628,5023.0,3953.0,5151.0,4211.0,2650.0,2617.0,2131.0,1684.0,3882.0,3478.0,3391.0,2135.0,2652.0,4273.0,4593.0,3545.0,3741.671990342438,3882.0788713917136,,,,,,,,,,,,,,,,,,,,,,,,,1999.0,…,2015.0,,,2009.0,2017,2012,,,,2002.0,2011.0,1997,-0.21302010750547481,0.30306096635466734,-0.18248883711900601,-0.3706957967228687,-0.012452830188679246,-0.18570882690103171,-0.20976067573908963,1.3052256532066508,-0.10407006697578568,-0.025014376078205867,-0.37039221468593336,0.24215456674473068,0.611236802413273,0.07488883688275216,-0.22817330720661877,0.05547869967346635,0.037525170942743526
51.0,Armenia,61.27679930254817,1887,1402.4243341907859,1574.6619797311723,1732.246212810278,1875.177033431828,936.0,1089.0,2602.0,2878.0,2100.0,2837.0,2276.0,3194.0,1526.0,2885.0,3017.0,3229.0,2020.0,2201.0,1899.0,2202.0,2344.0,1583.0,,,,,,,,,,,,,,,,,,,,,,,,,1999.0,2008,1993.0,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,0.16346153846153846,1.3893480257116622,0.10607225211375865,-0.27032661570535094,0.35095238095238096,-0.19774409587592529,0.4033391915641476,-0.5222291797119599,0.8905635648754915,0.045753899480069325,0.07026847862114684,-0.3744193248683803,0.0896039603960396,-0.1372103589277601,0.15955766192733017,0.06448683015440508,-0.3246587030716723
31.0,Azerbaijan,3688,3824,3956.783018734306,3988.0838137492537,4007.5019170492887,4015.0373286381364,3450.0,3370.0,4258.0,4570.0,4238.0,3442.0,4156.0,3832.0,3055.0,3273.0,3739.0,3560.0,2857.0,2597.0,2488.0,2307.0,2634.0,2108.0,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,1998,2000.0,,2000,1996.0,2017,2001,,2004,2016,1998.0,1995.0,1993,-0.02318840579710145,0.26350148367952525,0.0732738374823861,-0.07264770240700219,-0.18782444549315716,0.2074375363160953,-0.07795957651588066,-0.2027661795407098,0.07135842880523732,0.14237702413687747,-0.04787376303824552,-0.19747191011235954,-0.09100455022751137,-0.041971505583365425,-0.0727491961414791,0.14174252275682706,-0.19969627942293092
50.0,Bangladesh,16399,13016.525029361248,12436.387140914798,11897.152089700103,11398.819875761867,10941.390499055386,10524.86395958066,10149.24025735259,9814.519392386079,9520.701364651322,10411.0,8460.0,9016.0,9068.0,9486.0,7677.0,8379.0,7041.0,7801.0,10304.0,9229.0,9479.0,9423.225193411112,9702.046887099743,,,,,,,,,,,,,,,,,,,,,,,,,1993.0,1981,1994.0,2005,2001,1990.0,2016,1992,,2007,2001,1996.0,1994.0,1983,-0.03568917409959902,-0.0329798937141156,-0.029937077506076867,0.09351187493961303,-0.18739794448179808,0.0657210401891253,0.005767524401064774,0.046096162329069254,-0.19070208728652752,0.0914419695193435,-0.15968492660221983,0.10793921317994604,0.32085630047429814,-0.10432841614906832,0.02708852530068263,-0.005884039095778898,0.0295887753890874
112.0,Belarus,8889,5104,7047.054763898253,7004.13423871994,7003.604142323136,7045.464474752545,8433.0,8110.0,7168.0,7253.0,8376.0,8803.0,8371.0,7030.0,9407.0,10466.0,10303.69643111527,10854.241908952594,11447.177815571427,12082.504151016474,12760.220915213227,13480.328108206391,14242.825730010867,15047.71378056705,,,,,,,,,,,,,,,,,,,,,,,,,1999.0,1995,1993.0,2003,2005,1988.0,2016,1991,,2004,2006,2001.0,2000.0,1988,-0.03830190916637021,-0.11615289765721332,0.011858258928571428,0.15483248311043707,0.05097898758357211,-0.04907417925707145,-0.1601959144666109,0.338122332859175,0.11257574146911874,-0.015507698154474522,0.053431841816959785,0.0546271136752332,0.05550069595152277,0.05609075368202863,0.05643375594968145,0.05656372869294566,0.056511823272555675
56.0,Belgium,2619.000004172325,2998.642859760672,3048.7500023543835,3090.250002093613,3123.1428589969873,3147.4285730607808,3163.107144281268,3170.1785726584494,3168.6428581923246,3158.500000875443,3139.7500007227063,3112.3928577266634,3076.4285718910396,3031.8571432083845,2978.6785716861486,2916.892857313156,2846.500000104308,2767.500000052154,2702.0,2678.0,2225.0,2340.0,2568.0,1951.0,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1993.0,1983,1997.0,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996,0.0022355955883334726,-0.0004844252242979969,-0.003201009949940463,-0.0059363622439575605,-0.008713159643202774,-0.01155518839671563,-0.01448804275512811,-0.017539933120318797,-0.020742659164468796,-0.02413282237376697,-0.0277533813628172,-0.023667570027432593,-0.008882309400444115,-0.16915608663181478,0.051685393258426963,0.09743589743589744,-0.24026479750778817
84.0,Belize,1420625.8298721313,539575.8291244507,414015.25758743286,305337.82891082764,213543.5431098938,138632.40017318726,80604.4001121521,38242.0,16769.0,10411.0,12297.0,45793.0,86982.3999710083,147136.39999389648,224173.54288101196,318093.8286437988,428897.2572669983,556583.8287582397,701153.5431289673,862606.4003601074,1040942.4004707336,1236161.5434379578,1448263.829284668,1677249.2579956055,,,,,,,,,,,,,,,,,,,,,,,,,1997.0,1986,1994.0,,2003,1998.0,2016,1998,2005,2010,1983,1998.0,1994.0,1990,-0.525559399402632,-0.5615030594634172,-0.379152006678991,0.18115454807415235,2.723916402374563,0.8994693505777804,0.6915651906930348,0.523576374644963,0.4189624009851973,0.3483356753433813,0.2977089951679352,0.25974472649208696,0.23026747680777698,0.2067408728200687,0.18754077351344547,0.17158136569822477,0.15811030012676547
60.0,Bermuda,202.23251753894147,144.91483519913163,134.94830172893126,125.48076925775968,116.51223778596614,108.0427073133178,100.07217783969827,92.60064936557319,85.6281218904769,79.15459541452583,73.18006993806921,67.70454546064138,61.0,57.0,56.0,57.0,47.0,42.0,42.0,41.0,41.0,41.0,41.0,41.0,,,,,,,,,,,,,234,234,234,234,234,234,234,234,234,234,234,234,,,,,,,,,,,,,,,-0.07466139575870359,-0.07529674492421554,-0.07560047252036046,-0.0754791992198121,-0.07482261880948801,-0.09902651904721715,-0.06557377049180328,-0.017543859649122806,0.017857142857142856,-0.17543859649122806,-0.10638297872340426,0.0,-0.023809523809523808,0.0,0.0,0.0,0.0
