Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
8.0,Albania,...,...,...,...,...,...,,,,,,,,,,,,,,,147.94,147.94,147.94,150.68,,,,,,,,,,,,,,,,,,,,,,,,,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,,,,,,,,,,,,,,,0.0,0.0,1.8521022035960586
20.0,Andorra,...,...,...,...,37.27,37.32,37.15,37.53,38.0,40.92,43.37,44.44,45.95,47.04,47.67,47.71,48.1,46.4,51.37,56.97,54.94,54.82,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,…,2015,...,...,2009.0,2017,2012,...,...,...,2002.0,2011.0,1997,1.0228802153432102,1.2523314681588031,7.684210526315793,5.987292277614848,2.4671431865344715,3.3978397839784096,2.372143634385193,1.3392857142857197,0.08391021606880458,0.8174386920980938,-3.53430353430354,10.711206896551722,10.901304263188635,-3.5632789187291576,-0.21842009464870304,,
51.0,Armenia,"2,082.00","1,742.00","1,732.00","1,699.00","1,726.00",992.00,1027.0,570.0,650.0,957.0,949.0,930.0,830.0,808.0,1023.0,984.0,1179.0,2056.0,2228.0,2569.0,2319.0,2221.0,2108.8,1509.04,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,-44.4985394352483,14.035087719298245,47.23076923076923,-0.8359456635318705,-2.0021074815595363,-10.75268817204301,-2.6506024096385543,26.60891089108911,-3.812316715542522,19.817073170731707,74.38507209499576,8.365758754863812,15.305206463195692,-9.73141300116777,-4.225959465286762,-5.051778478162981,-28.440819423368747
40.0,Austria,...,...,...,...,...,...,,,,,6454.73,,6561.58,,6443.77,,6580.76,,6462.95,,6564.32,,6575.28,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1982,1994,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992,,,,,,,,,,,,,,,,,
48.0,Bahrain,124.70,...,...,...,...,...,,,,,175.64,181.6,182.1,238.2,268.3,297.4,316.1,320.9,320.2,341.4,432.0,425.5,433.5,428.1,,,,,,,,,,,,,,,,,,,,,,,,,1992,2012,1996,...,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,,,,3.393304486449561,0.27533039647577096,30.807248764415153,12.636439966414786,10.84606783451359,6.2878278412912065,1.5185068016450345,-0.21813649111872505,6.6208619612742,26.537785588752204,-1.5046296296296295,1.8801410105757932,-1.245674740484424
112.0,Belarus,"5,893.00","4,002.00","3,625.00","3,552.00","3,603.00","3,601.00",3568.0,3626.0,3531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1995,1993,2003,2005,1988.0,2016,1991,...,2004,2006,2001.0,2000.0,1988,1.6255605381165918,-2.6199669056811916,,,,,,,,,,,,,,,
60.0,Bermuda,...,...,...,...,...,...,,,,,,8.66,9.17,8.77,8.29,8.73,8.03,7.65,8.14,8.6,8.84,8.11,9.22,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.889145496535794,-4.362050163576885,-5.4732041049030835,5.307599517490969,-8.018327605956484,-4.732254047322528,6.405228758169937,5.65110565110564,2.7906976744186074,-8.257918552036205,13.686806411837255,-27.331887201735363
70.0,Bosnia and Herzegovina,...,...,...,...,...,...,,,,,311.72,318.07,277.83,294.01,302.22,483.14,481.69,445.98,487.82,472.82,428.43,442.87,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,2009,2002,2017,2007,1993.0,2017,1992,2007,2010,1994,2002.0,2000.0,1993,,,,,2.0370845630694103,-12.651303172257682,5.823705143433037,2.7924220264616975,59.86367546820195,-0.30012004801920533,-7.413481699848445,9.381586618233996,-3.0749046779549833,-9.388350746584322,3.3704455803748563,,
76.0,Brazil,"51,689.16","54,533.70","49,866.07","55,273.84","57,280.15","62,233.85",65109.67,65707.48,65815.27,66693.14,74117.44,75708.8,69350.69,78376.79,82822.65,79344.24,86008.13,87392.05,94315.1,102151.67,106983.67,111465.24,109494.16,111604.28,,,,,,,,,,,,,,,,,,,,,,,,,1992,1975,1994,2015,2002,1990.0,2016,1993,2004,2004,1988,1997.0,1994.0,1977,0.918158546956232,0.16404525025158195,1.3338393962373705,11.132029471097033,2.147079014062008,-8.398112240584979,13.015155292614955,5.672419092437954,-4.199829394495333,8.398706698810146,1.6090571902911948,7.9218304182131005,8.308924021710194,4.7302212484631925,4.189022492872049,-1.7683360301381863,1.9271530098043541
170.0,Colombia,...,...,...,...,...,...,,,,,,,,,,,,,,,2848.56,2896.47,2764.03,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,1996,1981,1995,...,2001,1993.0,2018,1998,2008,2008,...,1999.0,1995.0,1983,,,,,,,,,,,,,,,1.681902434914478,-4.572462342092257,
