Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
20.0,Andorra,...,...,...,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,…,2015,...,...,2009.0,2017,2012,...,...,...,2002.0,2011.0,1997,,,,,,,,,,,,,,,,,
31.0,Azerbaijan,...,...,...,...,...,...,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2001,1998,2000,...,2000,1996.0,2017,2001,...,2004,2016,1998.0,1995.0,1993,,,,,,,,,,,,,,,,,
48.0,Bahrain,0.029999999,...,...,...,...,...,,,,,0.029999999,0.479999989,0.479999989,0.479999989,0.479999989,0.479999989,0.479999989,0.479999989,0.479999989,1.899999976,21.20000076,20.70000076,20.39999962,14.60000038,,,,,,,,,,,,,,,,,,,,,,,,,1992,2012,1996,...,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,,,,1500.0000166666673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.833337404514,1015.7895277783941,-2.3584904814880767,-1.44928081635492,-28.431369353133345
112.0,Belarus,...,220.3999939,215.3999939,222.8000031,251.8000031,287.6000061,247.6000061,221.8000031,212.3000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1995,1993,2003,2005,1988.0,2016,1991,...,2004,2006,2001.0,2000.0,1988,-10.420033265096112,-4.283137902264529,,,,,,,,,,,,,,,
100.0,Bulgaria,...,...,...,...,...,...,389.8630066,292.3287659,337.2602844,1495.616455,1486.849365,258.3561707,300.0,299.4520569,271.7808228,198.6301422,204.3835602,167.6438293,167.9178009,181.6438293,179.3698578,164.1917877,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,1991,1996,1999,2002,1990.0,2016,1976,2000,2004,1996,2001.0,1995.0,1974,-25.017567465709888,15.370200863287668,343.46059236140525,-0.586185714304678,-82.62391760849292,16.118767044413385,-0.18264769999999925,-9.240622484433498,-26.915320899528904,2.8965482963844,-17.975873824708927,0.16342480432711645,8.174254502162189,-1.2518848059761685,-8.461884447120308,,
344.0,"China, Hong Kong Special Administrative Region",...,...,...,...,...,...,,,,,,,,,,,75.65699768,92.53099823,99.0,125.6809998,127.3002014,127.4502029,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.303291258490752,6.99117257323898,26.95050484848484,1.2883423927058948,0.1178328850624958,,
170.0,Colombia,...,...,...,...,...,...,,,,,,,,,,,,,,,232.6060944,230.7907867,238.6235352,,,,,,,,,,,,,,,,,,,,,,,,,,1996,1981,1995,...,2001,1993.0,2018,1998,2008,2008,...,1999.0,1995.0,1983,,,,,,,,,,,,,,,-0.7804213834906197,3.3938739981772326,
188.0,Costa Rica,...,...,...,...,...,...,,,,,,,,,,,,,,,,688.7299805,104.5899963,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1995,1975,1994,2007,2002,1991.0,2016,1992,2009,2007,1992,1998.0,1994.0,1977,,,,,,,,,,,,,,,,-84.814078193014,
191.0,Croatia,...,...,...,...,...,...,,,,,,,,,45.20547867,47.94520569,73.15068817,19.72602654,31.50684929,34.52054977,36.44109726,35.46027374,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,1994,2000,1997,2000,2007,1992.0,2017,1991,2007,2007,1995,2000.0,1996.0,1992,,,,,,,,,6.060608361212169,52.57143465599343,-73.0337102309177,59.722229036400776,9.565223270219288,5.563490450748974,-2.6915312483650533,,
196.0,Cyprus,...,...,...,...,...,...,,,,,4.1095891,5.205479622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1974,1996,2001,1999,1992.0,2017,2001,2004,2005,1988,2000.0,1997.0,1975,,,,,26.66666898644442,,,,,,,,,,,,
203.0,Czechia,...,...,...,...,...,...,,,,,,,506.0274048,532.6027222,476.1643982,409.3150635,512.3287964,528.2191772,500.5479431,484.1095886,455.6164246,445.2054749,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1993,1994,1994,2001,1993.0,2017,1993,2000,2002,1996,2000.0,1993.0,1993,,,,,,,5.251754578490374,-10.596702128534487,-14.039129122778668,25.16734469021074,3.101598214204928,-5.238589451954489,-3.2840719308911295,-5.8856847025896695,-2.2850251083770967,,
222.0,El Salvador,...,...,...,...,...,...,,,,,,,,1325.0,1320.0,1315.0,1312.0,1326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,1987,1994,...,1998,1992.0,2017,1999,1999,2008,...,1997.0,1995.0,1991,,,,,,,,-0.37735849056603776,-0.3787878787878788,-0.22813688212927757,1.0670731707317074,,,,,,
246.0,Finland,...,...,...,...,...,...,1882.191772,1906.849365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,1976,1994,1989,2002,1988.0,2016,1975,2004,2002,1996,1995.0,1994.0,1987,1.3100467958054667,,,,,,,,,,,,,,,,
268.0,Georgia,161.1999969,2.5,9.300000191,12.80000019,0.600000024,0.02,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1996,1994,2000,1999,1996.0,2017,1997,2007,2006,1996,1999.0,1994.0,1992,,,,,,,,,,,,,,,,,
276.0,Germany,...,...,...,...,...,...,,,,,,,,2628.76709,,,2650.758789,,,2544.528809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1976,1994,1984,2002,1988.0,2016,1976,2001,2002,1994,1996.0,1993.0,1976,,,,,,,,,,,,,,,,,
368.0,Iraq,...,...,...,...,...,...,,,,,,,,,,,,,118.4000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2014,2009,2016,2009,2008.0,...,2008,2017,2016,1985,2010.0,2009.0,1974,,,,,,,,,,,,,,,,,
398.0,Kazakhstan,...,...,...,...,...,...,,,,,,,,,,32.0,42.0,45.0,46.0,45.0,34.0,37.0,44.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,2003,2000,1994,2006,2009,1998.0,2016,2007,2007,2007,...,1997.0,1995.0,1994,,,,,,,,,,31.25,7.142857142857142,2.2222222222222223,-2.1739130434782608,-24.444444444444443,8.823529411764707,18.91891891891892,6.8181818181818175
428.0,Latvia,...,...,...,...,...,...,,,,,,29.47945213,19.20547867,23.47945213,16.79452133,13.89041138,34.13698578,41.91780853,26.52054787,35.61643982,41.01369858,41.89041138,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1997,1996,1999,2002,1995.0,2017,1995,2003,2004,2004,2002.0,1995.0,1995,,,,,,-34.8513039343245,22.25392833700196,-28.47140880028703,-17.292007869330558,145.75935763250234,22.792940185593615,-36.732026792336704,34.29752656161848,15.153841280254069,2.137609702011907,,
440.0,Lithuania,...,...,...,...,...,...,,,,,,,,,,,28.05479431,33.17808151,36.27397156,29.01369858,23.78082275,23.39726067,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,2001,1996,2002,2003,1995.0,2017,1993,2004,2006,2003,2003.0,1995.0,1992,,,,,,,,,,,18.26171720736455,9.331130400252011,-20.015103579135076,-18.03587989849449,-1.6129050034654386,,
470.0,Malta,...,...,...,...,...,...,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1989,2001,2001,2001,1988.0,2016,1989,2017,2017,1993,1998.0,1994.0,1978,,,,,,,,,,,,,,,,,
492.0,Monaco,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1978,1993,1993,2006,1993.0,2016,1997,...,2004,1996,1999.0,1992.0,1978,,,,,,,,,,,,,,,,,
642.0,Romania,...,...,...,...,...,...,,,,,,,,,,,1426.575317,623.2876587,618.3561401,781.6438599,963.0136719,910.4109497,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,1994,1994,1998,2001,1993.0,2017,1991,2003,2004,1996,1998.0,1994.0,1990,,,,,,,,,,,-56.30881515525339,-0.7912106923929383,26.406743494710565,23.2036380383265,-5.462302741373989,,
688.0,Serbia,...,...,...,...,...,...,175.0,168.0,145.0,169.0,195.0,171.0,172.0,203.0,210.0,151.0,160.0,149.0,104.0,105.0,95.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2006,2002,2008,2007,2001.0,2017,1992,2009,2009,2001,2007.0,2001.0,2001,-4.0,-13.690476190476192,16.551724137931036,15.384615384615385,-12.307692307692308,0.5847953216374269,18.023255813953487,3.4482758620689653,-28.095238095238095,5.960264900662252,-6.875000000000001,-30.201342281879196,0.9615384615384616,-9.523809523809524,-38.94736842105263,,
702.0,Singapore,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,1986,1996,...,2006,1989.0,2016,...,2005,2005,1994,1999.0,1997.0,2012,,,,,,,,,,,,,,,,,
703.0,Slovakia,...,...,...,...,...,...,,,,,,,,,,,,,715.0684814,823.2876587,505.753418,512.876709,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1993,1994,1995,2002,1993.0,2016,1993,2007,2002,1996,2002.0,1994.0,1993,,,,,,,,,,,,,15.134099756169167,-38.569051454190095,1.4084513809454857,,
792.0,Turkey,...,...,...,...,...,...,,,,,,,,,676.1643677,,724.9315186,,1282.465698,,1373.808228,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,1996,1997,...,2009,1991.0,...,1994,2017,2009,...,1998.0,2004.0,1983,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
