Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
8.0,Albania,...,...,...,...,...,...,,,,,,,,,,,,,,,16.4382,16.4382,16.4382,16.4382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,,,,,,,,,,,,,,,0.0,0.0,0.0
12.0,Algeria,...,...,...,...,...,...,,350.0,410.0,410.0,520.0,520.0,610.0,880.0,1090.0,420.0,693.0,781.0,800.0,441.0,478.0,541.0,568.0,609.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1998,1983,1995,2005,2005,1992.0,2016,1984,...,2006,1996,1996.0,1993.0,1974,,17.142857142857142,0.0,26.82926829268293,0.0,17.307692307692307,44.26229508196721,23.863636363636363,-61.46788990825688,65.0,12.698412698412698,2.4327784891165174,-44.875,8.390022675736962,13.179916317991633,4.990757855822551,7.21830985915493
20.0,Andorra,...,...,...,2.200000048,2.200000048,2.700000048,2.599999905,2.700000048,5.699999809,9.5,8.199999809,6.400000095,32.29999924,35.20000076,41.79999924,47.70000076,45.5790329,46.40000534,51.37123108,56.96699905,54.93700027,54.81999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,…,2015,...,...,2009.0,2017,2012,...,...,...,2002.0,2011.0,1997,3.8461594866866116,111.11110028395082,66.66667225146216,-13.68421253684211,-21.951216535692964,404.68748063354514,8.978333090511875,18.749995276988727,14.114836428882201,-4.446473430202939,1.801206361269676,10.713847344570157,10.89280488778973,-3.563464486198874,-0.2129722762891502,,
51.0,Armenia,737,581,619,575,493,378,340.0,271.0,351.0,390.0,277.0,221.0,212.0,203.0,201.0,172.0,172.0,315.0,272.0,202.0,352.0,195.6000061,172.8999939,175.8999939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,-20.294117647058822,29.520295202952028,11.11111111111111,-28.974358974358978,-20.216606498194945,-4.072398190045249,-4.245283018867925,-0.9852216748768473,-14.427860696517413,0.0,83.13953488372093,-13.65079365079365,-25.735294117647058,74.25742574257426,-44.431816448863636,-11.605322848709259,1.7351070594803533
40.0,Austria,...,...,...,...,...,...,,,,,,,,,2208.219156,,3109.58901,,2994.520518,,3098.630106,,3054.79449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1982,1994,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992,,,,,,,,,,,,,,,,,
31.0,Azerbaijan,566.5,674.5,615.7000122,613.7999878,552.5999756,543.9000244,552.5999756,,,,455.2999878,509.2999878,511.2000122,500.2000122,573.5,547.0999756,555.5999756,543.0,653.2000122,540.0,548.0,595.0,596.0,585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,1998,2000,...,2000,1996.0,2017,2001,...,2004,2016,1998.0,1995.0,1993,,,,,11.86031220007865,0.37306586403181663,-2.151799635657364,14.654135548219804,-4.603317244986924,1.5536465690165897,-2.2678142824598053,20.294661546961315,-17.330068904735388,1.4814814814814816,8.576642335766424,0.16806722689075632,-1.8456375838926176
48.0,Bahrain,124.6699982,...,...,...,...,...,,,,,175.6100006,181.1000061,181.6000061,237.6999969,267.7999878,296.8999939,315.6000061,320.3999939,319.7000122,339.5,407.5,399.3999939,407.1000061,413.2999878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,2012,1996,...,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,,,,3.126248779250898,0.27609054840335534,30.89206438082823,12.663016951011159,10.86632092072113,6.298421213945314,1.5209086524792859,-0.2184711964190906,6.19330217216676,20.029455081001473,-1.987731558282202,1.9278949217830588,1.5229628118642329
50.0,Bangladesh,...,...,...,...,...,...,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1993,1981,1994,2005,2001,1990.0,2016,1992,...,2007,2001,1996.0,1994.0,1983,,,,,,,,,,,,,,,,,
52.0,Barbados,...,...,8.800000191,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1992,1994,...,2000,1992.0,2016,2006,...,2004,1993,1997.0,1994.0,2002,,,,,,,,,,,,,,,,,
112.0,Belarus,2518,2304,2386,2380,2405,2397,2421.0,2475.0,2422.0,,,,,,,733.0,686.0,675.0,680.0,685.0,673.0,618.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1995,1993,2003,2005,1988.0,2016,1991,...,2004,2006,2001.0,2000.0,1988,2.2304832713754648,-2.1414141414141414,,,,,,,,-6.412005457025921,-1.6034985422740524,0.7407407407407408,0.7352941176470588,-1.7518248175182483,-8.172362555720653,,
