Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
8.0,Albania,...,...,...,...,...,...,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,,,,,,,,,,,,,,,,,
20.0,Andorra,...,...,...,...,...,...,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1999,…,2015,...,...,2009.0,2017,2012,...,...,...,2002.0,2011.0,1997,,,,,,,,,,,,,,,,,
51.0,Armenia,...,...,...,...,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.0,456.0,300.0,12.0,167.3999939,17.0,2379.0,289.7000122,604.9000244,582.7999878,,,,,,,,,,,,,,,,,,1.0,,,,,,,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,,,,,,,,inf,-66.44591611479028,-34.21052631578947,-96.0,1294.9999491666667,-89.84468302301414,13894.117647058823,-87.8226140311055,108.80220881122904,-3.653502348908147
40.0,Austria,...,...,...,...,...,...,,,,,150206.0,,79972.0,,77201.0,,67983.0,,62905.0,,71327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1982,1994,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992,,,,,,,,,,,,,,,,,
31.0,Azerbaijan,...,...,...,...,...,...,,,1007.0,9747.0,969.0,38.0,25999.0,1241.0,8599.0,10401.2002,58429.10156,37132.10156,113898.3984,86426.5,111309.5,210858.0,25923.0,35772.0,,,,,,,,,,,,,,,,,,,,,,,,,2001,1998,2000,...,2000,1996.0,2017,2001,...,2004,2016,1998.0,1995.0,1993,,,867.9245283018869,-90.05847953216374,-96.07843137254902,68318.42105263159,-95.22673948998039,592.9089443996777,20.95825328526572,461.75345572138883,-36.449302541697335,206.73835741819508,-24.119652941493868,28.790937964628903,89.4339656543242,-87.70594428477932,37.99328781391043
48.0,Bahrain,...,...,...,...,...,...,,,1095.0,1024.0,963.0,1051.0,893.0,1290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,2012,1996,...,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,,-6.4840182648401825,-5.95703125,9.138110072689512,-15.033301617507137,44.4568868980963,,,,,,,,,,
50.0,Bangladesh,...,...,...,...,...,...,,,,,,,,996.0,,,,,1447.300049,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,1993,1981,1994,2005,2001,1990.0,2016,1992,...,2007,2001,1996.0,1994.0,1983,,,,,,,,,,,,,,,,,
112.0,Belarus,...,...,...,...,...,...,,21954.0,8382.0,12171.0,10300.0,50163.0,54194.32813,41349.35938,39626.98047,34615.71094,46000.0,57230.12109,29050.43945,21244.4707,59290.21875,24500.9707,33810.0,49810.0,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1999,1995,1993,2003,2005,1988.0,2016,1991,...,2004,2006,2001.0,2000.0,1988,,-61.82016944520361,45.20400858983536,-15.372607016678991,387.0194174757282,8.036457408847161,-23.701684647123606,-4.165430700319593,-12.646104927913537,32.887636136471635,24.413306717391308,-49.23924867411109,-26.87039816879603,179.0854127987288,-58.67620120730284,37.994532600294065,47.32327713694173
56.0,Belgium,...,...,...,...,...,...,,,,,193790.0,,160202.0,,155556.0,,158400.0,,186829.0,,287112.0,,258006.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,1993,1983,1997,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996,,,,,,,,,,,,,,,,,
84.0,Belize,...,...,...,...,...,691,775.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,1997,1986,1994,...,2003,1998.0,2016,1998,2005,2010,1983,1998.0,1994.0,1990,,,,,,,,,,,,,,,,,
204.0,Benin,...,...,...,...,...,...,,,1698.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,1997,1984,1994,1986,2002,1993.0,2016,2000,2004,2004,1997,1996.0,1994.0,1982,,,,,,,,,,,,,,,,,
60.0,Bermuda,...,...,...,...,...,...,,,,,,,,,,,5.0,7.0,5.0,8.0,5.0,6.599999905,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,40.0,-28.57142857142857,60.0,-37.5,31.999998099999992,51.51515369605146,-50.0
64.0,Bhutan,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,428.0,,,,,,,,,,,,,,,,,,,,,,,,,2002,2002,1995,...,2002,2004.0,2017,2012,...,...,...,2003.0,1995.0,2001,,,,,,,,,,,,,,,,,
70.0,Bosnia and Herzegovina,...,...,...,...,...,...,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,2009,2002,2017,2007,1993.0,2017,1992,2007,2010,1994,2002.0,2000.0,1993,,,,,,,,,,,,,,,,,
72.0,Botswana,...,...,...,...,...,...,,,,,,,,,,,,,,386.6799927,,719.1900024,,1061.537964,,,,,,,,,,,,,,,,,,,,8.0,,8.0,,8.0,1998,1977,1996,...,2003,1991.0,2016,1997,2008,2002,1990,1996.0,1994.0,1998,,,,,,,,,,,,,,,,,
100.0,Bulgaria,...,...,...,...,...,...,,,,,44984.0,,81641.0,,49759.0,,1762.0,,5352.0,,7171.0,,5259.0,,,,,,,,,,,,,,,,,,,,,,,,,,1996,1991,1996,1999,2002,1990.0,2016,1976,2000,2004,1996,2001.0,1995.0,1974,,,,,,,,,,,,,,,,,
120.0,Cameroon,...,...,...,...,...,...,,,,,202.1999969,369.5,311.1000061,299.7999878,355.0,1148.199951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,1981,1995,1983,2002,1989.0,2016,2006,2002,2009,1985,1997.0,1994.0,1982,,,,,82.73986432489406,-15.805140433017598,-3.6322783922954023,18.41227966854507,223.436605915493,,,,,,,,
344.0,"China, Hong Kong Special Administrative Region",...,8027,7070,10197,11732,11879,12054.0,10364.0,10182.0,9342.0,9021.0,9037.0,7487.0,7220.0,6779.0,6325.0,5396.0,6029.0,5930.0,6376.0,6480.0,8266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.020242243238759,-1.756078734079506,-8.249852681202121,-3.4360950545921645,0.17736392861101874,-17.151709638154255,-3.5661813810605048,-6.10803324099723,-6.697152972414811,-14.687747035573123,11.730911786508525,-1.6420633604246144,7.521079258010118,1.631116687578419,27.56172839506173,,
446.0,"China, Macao Special Administrative Region",...,...,...,175,207,207,225.0,315.0,263.0,308.0,351.0,367.0,384.0,399.0,450.0,449.0,504.0,457.0,414.0,436.0,486.0,473.0,544.0,556.0,,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,40.0,-16.507936507936506,17.110266159695815,13.96103896103896,4.5584045584045585,4.632152588555858,3.90625,12.781954887218044,-0.2222222222222222,12.24944320712695,-9.325396825396826,-9.409190371991247,5.314009661835748,11.46788990825688,-2.674897119341564,15.010570824524313,2.2058823529411766
191.0,Croatia,...,...,...,...,...,...,,,,,41.0,,47133.0,,402.0,,4573.0,,45.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1994,2000,1997,2000,2007,1992.0,2017,1991,2007,2007,1995,2000.0,1996.0,1992,,,,,,,,,,,,,,,,,
192.0,Cuba,...,...,...,...,...,...,,,,,,,,,,,16924.0,15423.0,11678.0,15423.0,21194.0,25718.0,7493.0,9269.0,,,,,,,,,,,,,,,,,,,,,,,,,1994,1990,1994,2008,2002,1992.0,2016,2001,2008,2007,1984,1997.0,1994.0,1981,,,,,,,,,,,-8.869061687544317,-24.281916618037997,32.06884740537763,37.41814173636776,21.34566386713221,-70.86476397853644,23.702121980515148
196.0,Cyprus,...,...,...,...,...,...,,,,,2207.0,,47.0,,53.0,,89.0,,3.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1974,1996,2001,1999,1992.0,2017,2001,2004,2005,1988,2000.0,1997.0,1975,,,,,,,,,,,,,,,,,
203.0,Czechia,...,...,...,...,...,...,,,,,30693.0,,49141.0,,61128.0,,49533.0,,71077.0,,73373.0,,77049.0,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1993,1994,1994,2001,1993.0,2017,1993,2000,2002,1996,2000.0,1993.0,1993,,,,,,,,,,,,,,,,,
208.0,Denmark,...,...,...,...,...,...,,,,,93137.0,,0.0,,0.0,,0.0,,2701.0,,3293.0,,4109.0,,,,,,,,,,,,,,,,,,,,,,,,,,1994,1977,1994,1983,2002,1988.0,2016,1978,2004,2003,2004,1995.0,1993.0,1979,,,,,,,,,,,,,,,,,
233.0,Estonia,...,...,...,...,...,...,,,,,477.0,,40.0,,0.0,,0.0,,38.0,,20.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1992,1994,2008,2002,1996.0,2016,1994,2006,2008,2005,2012.0,1994.0,1995,,,,,,,,,,,,,,,,,
246.0,Finland,...,...,...,...,...,...,,,,,93676.0,,79679.0,,112686.0,,141509.0,,107476.0,,149463.0,,42460.0,,,,,,,,,,,,,,,,,,,,,,,,,,1991,1976,1994,1989,2002,1988.0,2016,1975,2004,2002,1996,1995.0,1994.0,1987,,,,,,,,,,,,,,,,,
250.0,France,...,...,...,...,...,...,,,,,37000.0,,1220900.0,,1228645.0,,1306167.0,,1422701.0,,1520287.0,,1514417.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,1991,1978,1994,1990,2002,1988.0,2016,1986,2004,2004,1996,1997.0,1994.0,1975,,,,,,,,,,,,,,,,,
