Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
8.0,Albania,...,...,...,...,...,...,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,2003,1994,2001,2005,1999.0,2016,1996,2010 ,2004,2003,2000.0,1994.0,1989,,,,,,,,,,,,,,,,,
20.0,Andorra,...,...,...,...,...,...,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1999,…,2015,...,...,2009.0,2017,2012,...,...,...,2002.0,2011.0,1997,,,,,,,,,,,,,,,,,
28.0,Antigua and Barbuda,...,...,...,...,...,...,,,,,,60.20000076,86.26000214,51.75999832,100.8600006,52.95999908,23.05999947,157.2200012,7.940000057,7.159999847,13.60000038,16.60000038,,,,,,,,,,,,,,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1993,1997,1993,2007,1998,1992.0,2016,2005,2010,2003,1989,1997.0,1993.0,1983,,,,,,43.28903829070316,-39.99536629271871,94.86090392902472,-47.49157370122006,-56.457704171848334,581.7866644122694,-94.94975194224843,-9.823680156177609,89.94414344433716,22.058822913062297,,
51.0,Armenia,...,...,...,...,286607,241596,381578.0,375500.0,377900.0,344095.0,351400.0,346325.0,352279.0,362275.0,433537.5313,438227.5625,432811.7813,457729.8125,460844.6875,574973.8125,571750.375,551020.0625,601917.375,541012.375,,,,,,,,,,,,,,,,,,2.0,,,,,,,1999,2008,1993,2011,2003,1999.0,2017,1993,2003,2003,2002,1997.0,1993.0,1993,-1.5928591270985226,0.6391478029294274,-8.94548822439799,2.1229602290065244,-1.444223107569721,1.7191943983252724,2.8375236673205047,19.670838810296036,1.0818051175261714,-1.2358376477061566,5.757244205588825,0.6805051615465838,24.765203569803546,-0.5606233588247117,-3.625762816508865,9.236925470386117,-10.118498406861905
40.0,Austria,...,...,...,...,...,...,,,,,43465.0,,0.0,,45033.0,,47959.0,,59046.0,,60260.0,,66429.0,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1982,1994,2005,2002,1989.0,2016,1983,2002,2002,1995,1997.0,1994.0,1992,,,,,,,,,,,,,,,,,
31.0,Azerbaijan,...,7606,...,...,...,...,15348.0,4532.0,1607.0,386.0,100360.0,622.0,1406220.0,1510.0,55840.0,144517.7969,87314.60156,97530.29688,84996.20313,65401.10156,414633.5938,166965.0938,634000.0,175613.0,,,,,,,,,,,,,,,,,,,,,,,,,2001,1998,2000,...,2000,1996.0,2017,2001,...,2004,2016,1998.0,1995.0,1993,-70.47172270002606,-64.54104148278905,-75.98008711885501,25900.0,-99.38023116779593,225980.38585209002,-99.89261993144743,3598.0132450331125,158.8069428724928,-39.5821113849266,11.699870511325734,-12.851487333645448,-23.05409047511178,533.9856423054413,-59.73189430460471,279.7200873372012,-72.30078864353312
48.0,Bahrain,...,...,...,...,...,...,,31942.0,4466.0,5661.0,5430.0,10626.0,11164.0,7432.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1992,2012,1996,...,2006,1990.0,2016,1998,2012,2006,1985,1997.0,1994.0,1991,,-86.01840836516186,26.757725033587104,-4.080551139374669,95.69060773480663,5.063052889139845,-33.42887853815837,,,,,,,,,,
50.0,Bangladesh,...,...,...,...,...,...,,,,,,,,18924.0,,,,,27498.69922,,,,,,,,,,,,,,,,,,,4,,,,,4.0,,,,,,1993,1981,1994,2005,2001,1990.0,2016,1992,...,2007,2001,1996.0,1994.0,1983,,,,,,,,,,,,,,,,,
112.0,Belarus,...,...,...,...,...,...,,51001.0,54358.0,63477.0,72700.0,19161.0,16826.66992,34284.85938,61295.60938,99987.10938,136600.0,83656.79688,123682.8906,124725.7188,153561.8438,99282.84375,115960.0,110730.0,,,,,,,,,,,5.0,5.0,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1999,1995,1993,2003,2005,1988.0,2016,1991,...,2004,2006,2001.0,2000.0,1988,,6.582223877963177,16.775819566577137,14.529672164721081,-73.64374140302613,-12.18271530713428,103.7530868734127,78.78331860902034,63.122791977045836,36.61761085706867,-38.75783537335286,47.84559678685131,0.843146691463244,23.119630239404962,-35.34667122172181,16.797621442022805,-4.510175922731976
56.0,Belgium,...,...,...,...,...,...,,,,,1306543.0,,283073.0,,443605.0,,981568.0,,739347.0,,960148.0,,1219738.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,1993,1983,1997,1990,2002,1988.0,2017,1986,2002,2006,1998,1997.0,1996.0,1996,,,,,,,,,,,,,,,,,
204.0,Benin,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,1984,1994,1986,2002,1993.0,2016,2000,2004,2004,1997,1996.0,1994.0,1982,,,,,,,,,,,,,,,,,
60.0,Bermuda,...,...,...,...,...,...,,,,,,,,,,,215.0,242.0,209.0,179.0,234.0,261.5,190.0,215.0,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,12.558139534883722,-13.636363636363635,-14.354066985645932,30.726256983240223,11.752136752136751,-27.342256214149142,13.157894736842104
64.0,Bhutan,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2002,2002,1995,...,2002,2004.0,2017,2012,...,...,...,2003.0,1995.0,2001,,,,,,,,,,,,,,,,,
100.0,Bulgaria,...,...,...,...,...,...,,,,,11981941.0,,13302797.0,,12846297.0,,13501203.0,,13157860.0,,11853969.0,,38190.0,,,,,,,,,,,,6.0,,6.0,,,,,,,,,,,,1996,1991,1996,1999,2002,1990.0,2016,1976,2000,2004,1996,2001.0,1995.0,1974,,,,,,,,,,,,,,,,,
120.0,Cameroon,...,...,...,...,...,...,,,,,5307.0,9046.0,9675.0,7492.0,8663.0,7133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,1981,1995,1983,2002,1989.0,2016,2006,2002,2009,1985,1997.0,1994.0,1982,,,,,70.45411720369323,6.953349546760999,-22.56330749354005,15.630005339028298,-17.66131825002886,,,,,,,,
344.0,"China, Hong Kong Special Administrative Region",...,6646,9266,6935,10220,6205,25620.0,10950.0,8760.0,11315.0,6954.0,5475.0,6935.0,5840.0,6789.0,7361.0,8150.0,5805.0,4170.0,4118.0,4521.0,3094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.259953161592506,-20.0,29.166666666666668,-38.54175872735307,-21.268334771354617,26.666666666666668,-15.789473684210526,16.25,8.425394019737812,10.71865235701671,-28.773006134969325,-28.165374677002585,-1.2470023980815348,9.78630403108305,-31.563813315638136,,
446.0,"China, Macao Special Administrative Region",...,...,...,4004,3647,3698,3963.0,4230.0,4986.0,5616.0,5519.0,5562.0,6115.0,5970.0,8376.0,11256.0,11915.0,17116.0,17269.0,16816.0,19671.0,23195.0,20585.0,19243.0,,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,6.737320211960636,17.872340425531917,12.63537906137184,-1.7272079772079771,0.7791266533792354,9.942466738583242,-2.3712183156173343,40.301507537688444,34.38395415472779,5.854655294953803,43.65086026017625,0.8939004440289787,-2.6231976373849095,16.977878211227402,17.914696761730468,-11.252425091614572,-6.519310177313578
191.0,Croatia,...,...,...,...,...,...,,,,,10661.0,,560802.0,,2843.0,,8735.0,,10312.0,,10035.0,,6251.0,,,,,,,,,,,,,,,,,,,,,,,,,,1994,2000,1997,2000,2007,1992.0,2017,1991,2007,2007,1995,2000.0,1996.0,1992,,,,,,,,,,,,,,,,,
192.0,Cuba,...,...,...,...,...,...,,,,,,,,,,,12421.0,7300.0,118909.0,170000.0,116000.0,137887.0,7803.0,5469.0,,,,,,,,,,,,,,,,,,,,,,,,,1994,1990,1994,2008,2002,1992.0,2016,2001,2008,2007,1984,1997.0,1994.0,1981,,,,,,,,,,,-41.2285645278158,1528.890410958904,42.9664701578518,-31.76470588235294,18.86810344827586,-94.34101837011465,-29.911572472126107
196.0,Cyprus,...,...,...,...,...,...,,,,,18596.0,,5064.0,,13154.0,,14810.0,,5470.0,,141248.0,,128870.0,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1974,1996,2001,1999,1992.0,2017,2001,2004,2005,1988,2000.0,1997.0,1975,,,,,,,,,,,,,,,,,
203.0,Czechia,...,...,...,...,...,...,,,,,150858.0,,65263.0,,77417.0,,60288.0,,33638.0,,35512.0,,33205.0,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1993,1994,1994,2001,1993.0,2017,1993,2000,2002,1996,2000.0,1993.0,1993,,,,,,,,,,,,,,,,,
208.0,Denmark,...,...,...,...,...,...,,,,,115162.0,,163542.0,,169800.0,,668190.0,,526737.0,,1031289.0,,1132336.0,,,,,,,,,,,,,,,,,,,,,,,,,,1994,1977,1994,1983,2002,1988.0,2016,1978,2004,2003,2004,1995.0,1993.0,1979,,,,,,,,,,,,,,,,,
212.0,Dominica,...,...,...,...,...,...,,,502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1995,1994,...,2005,1993.0,2016,...,2005,2003,1991,1997.0,1993.0,1995,,,,,,,,,,,,,,,,,
233.0,Estonia,...,...,...,...,...,...,,,,,6642961.0,,6093940.0,,6429778.0,,7979192.0,,7466476.0,,8983360.0,,9232944.0,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1992,1994,2008,2002,1996.0,2016,1994,2006,2008,2005,2012.0,1994.0,1995,,,,,,,,,,,,,,,,,
